gene	SZ
CFL1	10.0511132753375
EMC6	10.0324595157987
ZFAS1	10.0245154332695
LSM4	10.0120274952591
RAB18	9.98767119309199
DDX28	9.98696417903387
HPGD	9.97054743345376
CD1D	9.96376845236837
BUD31	9.92772805408105
CYP46A1	9.92179240347238
ATP5PF	9.90149016022086
PSMD7	9.876255410561
KBTBD4	9.86232962188819
TOMM22	9.83396645323868
GIMAP4	9.79446831394974
RNF126	9.75233083791239
RGS10	9.75202166664511
ATP5MPL	9.74593445208333
EIF3K	9.74553211311238
ADGRE5	9.71626713915205
DPM1	9.69781885957578
C1QBP	9.67698664764119
AP2M1	9.66986931979594
BRK1	9.66100676354964
PSMC2	9.65650618225448
IRF9	9.62861387355894
SH3YL1	9.6169510858546
AP4B1-AS1	9.61654908978239
NPM3	9.61521789941389
B2M	9.60812640956645
SEPHS2	9.59104935304509
NDUFC2	9.58696610192626
ZC3H15	9.49213651385201
SERF2	9.48118795531266
NACA2	9.47153111425866
OR7A17	9.46156478559005
COL18A1	9.45647250150266
AL731577.1	9.44960060621542
METTL18	9.43928248150853
MMD	9.34609068348916
Z97192.1	9.3314583449743
TMEM258	9.31566837600365
CCL2	9.30903418336763
FXYD5	9.28864524525076
GGNBP2	9.24761834300704
YTHDF2	9.23551743801987
DAP3	9.20000736091276
RALY	9.19720362317613
PSPH	9.17104549647028
FST	9.15548325064999
LSM3	9.1514298711308
SNX3	9.12426953370118
SNRPD1	9.10031613563259
LSM1	9.09206620223889
RSL1D1	9.08551766651628
GPM6A	9.08167408979219
RELB	9.06178584825265
ZNF706	9.05873631520803
MRPL18	9.052473048127
IFI44L	9.05137545728501
OAS1	9.04874933288986
PTRHD1	9.00538197680181
GPR85	8.89683871195115
RBM38	8.85538195648252
ARPC3	8.85520419910763
MRPL34	8.84584948329501
KANSL1-AS1	8.8394695361346
SVBP	8.83667072105639
C9orf78	8.81870763891991
IRF1	8.8128084089613
ARID4B	8.77058858360143
HSPA4L	8.72323574603369
LAPTM5	8.72294730346029
JAGN1	8.68397499972538
H2AFZ	8.67543913175903
TXNDC17	8.67267604891781
CMTM3	8.66941879163212
TAF9	8.62023625466555
TIGD5	8.59577182116933
EIF3M	8.59372022338097
SLU7	8.58872718265326
HSPB1	8.55056236009859
KLRC1	8.54253965323581
SNHG8	8.51988398511
KIR2DL4	8.51471535417436
MHENCR	8.49615583752052
XKR8	8.49200060607162
NDUFAB1	8.48785856455005
MRPS18C	8.4593898112248
TIMM9	8.45721978998428
SNW1	8.42527671829366
PDLIM3	8.42524686252073
TONSL	8.42417787958942
CC2D2A	8.42332890708305
IMPDH2	8.41755815080799
PPP1CA	8.3817912860438
C20orf204	8.37882243866742
CFAP20	8.33803328164353
C1QB	8.33043886499348
AC008875.1	8.32043271359974
NUDT2	8.30557542952082
CPA5	8.28376471608103
COX5B	8.27898683513597
C12orf75	8.26895572977954
CDC123	8.2539582229046
WASHC1	8.23167878295221
MRPS36	8.21880970718288
SNRPF	8.21350526288096
HMGA1	8.20091264841194
SS18L2	8.18028967553361
PRKAR2A	8.15347335564024
TWISTNB	8.13735586445143
PPBP	8.13074125120151
AC004585.1	8.1297146342318
EXOSC6	8.10931593123749
EIF4H	8.10377304904991
MATK	8.09414002838026
FBL	8.09047205233502
ENHO	8.08565854073325
DDIT4	8.05445866521537
SCNM1	8.0069759996451
MAX	8.00514125037352
HES4	7.99098332081418
MRPS7	7.97315341173209
DYNLL1	7.96619611102205
MIR210HG	7.94384788492158
TPM3	7.9420228994622
IP6K2	7.94045674769625
CLP1	7.93740292536579
PSMG2	7.91780736558128
PCIF1	7.91771829424747
LY6E	7.90665402930926
PMPCB	7.88312635507226
ZNF22	7.88051246637193
LINC00672	7.86348613640311
COMMD2	7.85561885706574
HADHA	7.85283897256574
TUBB6	7.85243170941615
ZNF683	7.84459881882847
FRRS1L	7.83557824153015
GTF3C6	7.82235196483629
ACAA2	7.80225553118815
PRELID3B	7.78930074764297
C2orf74	7.77200316219367
IFT20	7.76963151203773
LEPROTL1	7.75957369790841
CNN2	7.75114912106794
MRPS23	7.73607387728276
NOP53	7.72782235814709
DLD	7.71569142595699
STEAP4	7.70494734558552
SAMSN1	7.70354188838395
BIN2	7.6954813312136
GBP7	7.69531163151972
FBXO7	7.68829997347241
CNOT1	7.67604197840528
PHF5A	7.67572562160393
MPST	7.67547985559849
NSMCE1	7.66177120365418
CD1C	7.64499990409711
STOML2	7.62623947394495
NFU1	7.6252191820489
XBP1	7.61730221583858
ELP5	7.61392120207411
EPB41L4A-AS1	7.6092888758859
EBPL	7.60174468561223
PSMB6	7.60153220475939
FOXP1	7.59398522559149
LRG1	7.58528755915093
MRPL44	7.57939227808054
SPG21	7.53867065866502
LINC01857	7.52941259873318
ETF1	7.50575421329607
MRPL47	7.49783066217718
CCDC50	7.4935479443258
MRPL36	7.49003676104585
LLPH	7.47240704942869
DKK3	7.44990593545786
NME1	7.433738648027
MCUB	7.41065245628589
SSTR2	7.4104276619369
NGDN	7.40337028883816
BLOC1S4	7.39045622730568
CACUL1	7.39000288643082
PPP1CC	7.38678127258371
LRRC25	7.38263929991819
PPP2CA	7.37289988339238
CD38	7.37100028009748
HBP1	7.34545564577719
EMC4	7.33101900045911
SNRPC	7.32898898380671
SCN1A	7.32359269095527
NDUFA6	7.32149773360751
MFSD5	7.31841566580767
SNRPD2	7.31573639952119
TRBC2	7.31110116344041
SRM	7.29842544776995
BNIP1	7.29653847301932
HMGN1	7.28027802799218
MRPL22	7.27216648404262
AC025159.1	7.2538335906469
APP	7.25115984218479
ACTG1	7.25012776114744
KRT10	7.24080767233169
SF3B4	7.23434698744288
KDELR2	7.23209520551182
XCL1	7.22338202388526
KARS	7.21827867503164
GUK1	7.21825166671419
NDUFB9	7.19675689995598
ITGB1BP1	7.19107899125976
TSFM	7.19032457245862
STX11	7.18247613596757
CWC15	7.17706744401052
ZNF32	7.15559368881891
TRMT10B	7.14918395840223
CLEC12A	7.14714669539902
HAND2-AS1	7.13188421943747
VDAC2	7.11755714871792
SNN	7.11345504596223
ST13	7.10542373923265
IGHA2	7.094120860885
SHMT2	7.07159555144144
CNOT8	7.0699476694002
COX6C	7.04586744654565
TXN	7.0380727604034
ARF1	7.02753197316586
SNHG19	7.00312611227057
GHRL	6.99826339703958
AC008764.6	6.9847878450734
MAPK1IP1L	6.97773434919694
EZR	6.97663941377403
PLA2G16	6.94873714247301
BATF3	6.93880214711969
PPIL3	6.93454836280265
SMIM26	6.93392954811072
MRPL51	6.92046624072325
SAMMSON	6.91793688718311
ZSWIM1	6.9173440914034
RRAGA	6.91341916651468
RAB4A	6.90461959755193
ZDHHC1	6.87506080981424
RAB5C	6.8732482230057
RFX2	6.86507764205168
EIF4E2	6.85484761029332
SRP19	6.83912800573712
WTAP	6.83382773948752
CCT3	6.83104215636277
CNBP	6.82794509464398
CCNI	6.8132957077893
TLE1	6.81281941936366
MRPL9	6.79901009667088
COG3	6.79454426416665
SELENOK	6.79310126339853
TMEM80	6.78712113835237
PHKG1	6.78287466141083
PRR13	6.77556443296029
NMI	6.7572292232604
AL928654.1	6.74069095922784
BOK	6.73244276112177
SYNGR2	6.73061586268308
NBL1	6.72603912585988
TLNRD1	6.71777536574508
CCDC26	6.69668054329728
ABHD1	6.69108572493936
SEC62	6.68493323108844
TMEM56	6.66625762630789
ARL17A	6.66082871323096
C1orf43	6.64240297626515
C19orf53	6.62913077441664
ATP5PB	6.62799876599354
AL022238.2	6.62172896358066
RNPEPL1	6.61232313128644
TTL	6.61079744670702
EMC3	6.60491575244524
S100A11	6.59504315386819
RTRAF	6.59199305297975
NDUFB6	6.58604596290069
LAMTOR5	6.57036625261054
AL136454.1	6.57017481173806
DERL2	6.56717077655673
PRMT2	6.55995931518077
C9orf16	6.55461151149181
MALSU1	6.54601305982002
AC091729.3	6.54407257202437
AC022726.2	6.543526219635
ELOC	6.54088084218303
NYAP2	6.52844671282759
ADRM1	6.52540992418661
TMEM70	6.52035474893024
ZNF100	6.51330362357772
PF4	6.51163179230841
THBS1	6.50428774273936
ISCA2	6.49455727344065
MYL6	6.49364214294999
NTAN1	6.48659360740732
RAB5IF	6.48038647763397
HSBP1	6.47548206330301
SCAF4	6.47388167842713
CCDC66	6.46341943988766
ZNF517	6.45822022836807
RHNO1	6.45108563715546
LSM2	6.45091270950148
MTPAP	6.44050133321375
GFI1B	6.43887900893652
AL136295.5	6.43766325888368
COCH	6.43638231928784
METTL9	6.42136329612668
PHAX	6.42091443426711
DDR1-DT	6.41842798530776
RNPS1	6.40555476464675
LYPD2	6.40461965039114
DND1	6.39426281497393
AC136475.5	6.38533335031787
GDI2	6.37946893339852
NDUFS4	6.37799461256232
MYO10	6.36907954229319
TMEM60	6.36759795156764
INTS12	6.36460377878903
TRIM13	6.34592177891512
PSMB5	6.33241057068986
CDK7	6.31819213827517
BCL3	6.31104286534978
NOB1	6.29711941191195
SLIRP	6.29615202538795
AIMP1	6.28786137891352
HNRNPC	6.28647489936975
AC127521.1	6.2781270680846
P2RX5	6.27383402528365
MMADHC	6.26767830546621
TIMM23	6.25741483312493
AC105285.1	6.25106022538997
GID8	6.25046588415397
COMMD3	6.23805738206601
ADGRE3	6.22538537495549
PLEKHD1	6.21692250315302
CDCA7	6.19032153928308
MRPS12	6.18982547791618
NDUFV2	6.18189699931194
LRRFIP1	6.17579139622295
MZT2B	6.17088103180546
MAPT	6.15872755200697
GMFG	6.14976547995124
COPS9	6.14181042978898
DOK2	6.13167681786321
MIF-AS1	6.12965775257296
SLC25A33	6.12961483632337
FAM227A	6.12692950963151
DBI	6.12691688208271
ZNF281	6.12166930019519
ATP5F1C	6.11868770812767
TCEA3	6.10563864967694
TRIR	6.10559628209318
PFDN2	6.10443490978608
NIFK	6.09558887030134
ACTR3C	6.09254518757402
ATP6V1G1	6.08812678167307
TXNL4A	6.08378696147968
ACP1	6.0825683706768
UBE2D2	6.08169152157005
SNX9	6.07898791796878
PPM1M	6.01885484327327
CNOT7	6.01612493584326
GSKIP	6.01414099735026
MBIP	6.0043458591047
PCED1B	6.0030956286496
KTI12	6.00263234981977
NCOR1	5.99793363189499
CCDC167	5.99615614056308
BNIP2	5.99452838766684
TYW5	5.99122096172089
GZMH	5.98968358346444
SLC9A3R1	5.98942152362433
HNRNPH3	5.97749138844871
AC104389.4	5.97574444882636
MRPL17	5.97571767267735
DEDD	5.97421167823944
GTF2A2	5.96052567298088
DOLK	5.95334581743456
AC245452.1	5.9518485050254
USP10	5.94802510863401
SDHB	5.94427088874817
MED9	5.93180204572249
TRIM41	5.928695029486
WDR48	5.92567642658068
IRF2BP2	5.92039027510236
CALM2	5.9164508814301
UQCRC2	5.9025359521367
RSL24D1	5.89494272098284
POLR2J	5.89077027033531
METTL2B	5.88133031479272
NDUFB3	5.88122178894416
OTULINL	5.88111748887549
MRPS15	5.87528447487539
MDH2	5.87468084958418
SERPINF1	5.86709646096639
NINJ1	5.86291791683877
B3GAT2	5.85631598003758
SUMO1	5.85288674976511
SLBP	5.85080663892048
DUSP11	5.83559255520536
PIM3	5.83494037656693
DDT	5.83231526157418
AC004069.1	5.82757292977009
GPR171	5.82450993523013
C18orf21	5.8209992639876
MRPL37	5.8153216001671
TXNL1	5.80586439354918
AP002954.1	5.79791422907466
IGHG4	5.79544497895783
HDGFL3	5.76548973953692
TMEM219	5.76138285799213
C2orf68	5.75424628797087
MANEA-DT	5.74671878320189
RAB20	5.74538114571315
SIVA1	5.73609713451442
IFNGR1	5.72928710320279
MUC20-OT1	5.72337571069569
PRR7-AS1	5.71634939990443
PSMA3	5.69715119546888
PIM1	5.69322507659968
UTF1	5.67673404327092
LEF1	5.67286591324586
C1D	5.67199533366218
MCRIP2	5.66525020651283
ZNF408	5.66391998690918
FIBP	5.65797702667557
BRIX1	5.62990650193436
B9D2	5.62753348780916
SH2D2A	5.62359941342355
RNF138	5.62215302765651
SMIM10L1	5.61662603295168
C1R	5.60711470917215
DUSP10	5.602755245077
UFD1	5.59786776795718
SH3BGRL3	5.58790067267656
PSMB2	5.58628633102579
ADIPOR1	5.58556981466429
OST4	5.58334760963757
CISH	5.58244564621964
ZCRB1	5.5755596006609
COX8A	5.57213560568106
NKAPD1	5.56631424841545
AL139220.2	5.56304735665475
MRFAP1L1	5.55872884817407
LINC01355	5.55507007375328
PSMG4	5.54844630306911
IGHG3	5.54072607115361
IFNGR2	5.53780706103111
CSTF1	5.53738581061379
AAED1	5.52463361489413
AK6	5.52002251943188
SLC25A1	5.51809782958907
VAMP1	5.51021016000721
RAB1A	5.5035242006404
SLC1A7	5.49623522396517
RNF222	5.49508998741319
LACTB2-AS1	5.48533360412797
ZNF487	5.48513313158039
NSA2	5.48507649663183
TMEM101	5.48361661607734
DEDD2	5.48323517461689
GDPGP1	5.47664972594139
GMNN	5.46817610269323
PTPN14	5.45633019172689
COA7	5.45414581914614
POLE3	5.45108347158733
UBE2D1	5.43816700614377
S1PR4	5.42661317985637
SETD6	5.4147120168444
NUCB2	5.41285196867646
CDKN2D	5.40781753013472
HBA2	5.40135361277485
ASGR2	5.39374004464559
COX6B1	5.38344940180118
TMEM204	5.38246581414917
ANAPC15	5.37037712369604
CLEC4F	5.36771398932881
RNF114	5.36192560310265
SQLE	5.35201099686387
UTP18	5.35200365652665
TKT	5.34665991304981
AC104532.2	5.34559998818846
CPT1C	5.34329200439505
GSPT1	5.33584067253628
MTRF1L	5.33389050529092
UBL7	5.32696398749069
SLC25A26	5.32062146389842
SLC29A1	5.306353361829
ESS2	5.30348939921481
DNPH1	5.30165939054479
UTP4	5.28917848790256
MAGOH	5.2883252905346
MRPS18B	5.28405490311033
KLHL6-AS1	5.27057100590646
SIT1	5.2673678675126
RDH14	5.26161429071047
FADS2	5.24640252152912
KCNMB3	5.24316432479639
ANKRD49	5.24295177314303
NOSIP	5.2400684836673
RNF215	5.22902298462542
DHFR	5.22521541673908
HINFP	5.2203012089486
ZBTB8A	5.21790955920045
NPDC1	5.21440878443525
IRF7	5.21301378589022
AHCY	5.21000447925881
H2AFY	5.2091745883313
NSG1	5.20003913200262
HPS6	5.19760915591853
AL355472.1	5.19614443562434
GNA15	5.19480630579112
MRPL16	5.19276583588583
ZNF581	5.19112945754087
TMEM243	5.18698023849285
LINC00954	5.18349002045246
CDS2	5.17616430357237
ZNF556	5.17612357107117
CNTN2	5.17184837898375
NELFA	5.16476322760939
RAE1	5.1592696032041
NDUFA12	5.15782889668496
MED17	5.15519894034114
ESR2	5.14127533153641
POLR3E	5.13329964941827
MORF4L1	5.13148128908348
CFL2	5.12930796914823
MOB4	5.12473484071154
PKIB	5.12206100238633
N4BP2L1	5.11535805434837
COX7A2L	5.10933079103546
CRY1	5.09870469308565
PHF23	5.09451590895418
ZNF713	5.09045835451013
TRIM72	5.0902728458713
CBX6	5.08625812696414
GABPB1	5.08233256066441
RAB14	5.07938723140098
PHB2	5.07521098112003
SNRPB2	5.07470678791227
CANT1	5.07173820777513
MRPL15	5.06826298777025
ZNF562	5.06082645625043
TNNT1	5.05511453742893
EML4	5.05104677143639
TMIGD2	5.04818194810814
CLDND1	5.04439294390238
PYURF	5.03831242889343
ASF1A	5.0376823723821
AL022322.2	5.03310098263958
CWF19L1	5.03191408559345
TMEM50A	5.03059247597221
COPS8	5.02533335415323
TBCB	5.01875773151882
RARRES3	5.01782242410038
NDUFA10	5.00786230939509
OTUB1	5.00736145174742
TMEM51	5.00468909275005
RNASEH1	5.00308039680547
LSM5	4.99980870038982
ARPC1A	4.99975056488004
FGFBP2	4.9929833436667
DDA1	4.98552246479146
AC011899.2	4.97148723279719
TRIAP1	4.96034856924943
ZNF169	4.95536783170494
MTMR14	4.93521908383903
SPON1	4.93199182652813
PDLIM1	4.92751450440247
RHEB	4.92586790783496
DENND2D	4.9206965515814
KIR3DL1	4.91994242753574
ZNHIT2	4.9182714116567
ZNF385A	4.908855688384
TPRKB	4.90346631462234
CA6	4.88529163574504
HOTAIRM1	4.88067036687002
CCBE1	4.87743252513962
LGALS3BP	4.87321231474087
CRISPLD2	4.87290095558456
PSMB9	4.86808623143416
ZNF101	4.8607755715495
RHOH	4.86070292729326
PRCC	4.85909669239662
SH2B2	4.85838752333341
LTB	4.8547311391147
LARP7	4.85087009632605
TBCA	4.84822671811513
NFKB1	4.84748498692589
UBE2J1	4.84406196453782
CDK2AP2	4.84307484043947
SRSF8	4.83981561968889
NUTF2	4.83680253962747
IKBIP	4.83187984671671
PIGP	4.8253888441862
FAM162A	4.81979465803432
LINC01871	4.81811905780503
LPAR5	4.81599100735919
PRDX6	4.81273712683144
SNF8	4.81041365408513
CLEC9A	4.80858814995385
CDC26	4.80211793715512
RTP4	4.79864994241945
TXNIP	4.79325728720532
TSN	4.78639440433498
LAMTOR3	4.78377367856799
DMAC2	4.77527812065485
COMMD7	4.77499393055722
SEC11A	4.77107096641132
BLOC1S2	4.76286579303915
ZNF503	4.74631780759659
CST7	4.74026932204018
RBX1	4.73993864085569
MYCBPAP	4.72479060540577
CHST2	4.72447236026455
TIMM17A	4.72083014898608
PIGBOS1	4.71819920027665
ZNF14	4.71679259235871
CDC42EP2	4.71548684659989
CRBN	4.71517713600828
ITGAE	4.71465184073328
SLC26A4	4.71233490941928
AC009950.1	4.70847877834668
MRPS30	4.70761917060494
CLSPN	4.7020802467577
FXYD6	4.70091367232939
MRPL10	4.6977044997673
S100A10	4.69337940818237
SMIM12	4.69229471773913
NUDT21	4.69146083260433
LINC01089	4.69051254182441
MYBL2	4.68975100212927
GSTM4	4.67507954447641
POLR1C	4.66663195360365
ISG20	4.66567701550683
NAA60	4.65580183924931
RBFOX3	4.65196918267165
MPHOSPH10	4.64738664663639
ABHD14B	4.64683020639722
HUS1	4.63907166256515
KPNA2	4.63622154399082
EIF1B	4.63504079277669
MRPL13	4.62952440141025
DISP2	4.61784869443356
AC018816.1	4.61556404049271
NOL11	4.61012271771317
H3F3A	4.6100844825853
MAD2L1BP	4.60670787118784
PAFAH1B2	4.6015022819489
RBL1	4.59626458850196
NAA20	4.59546388246382
SLC5A3	4.59319613877217
PTAFR	4.59013368929677
CYTL1	4.58730708543665
ENOSF1	4.58207356617839
CCT4	4.58191968107754
MED28	4.57544546764357
MXRA7	4.57435893114015
TMEM147	4.56793101657269
FANCF	4.56343175271464
CXCL16	4.56214837696488
ZDHHC4	4.55229321388892
PRKRA	4.55125244237245
C6orf203	4.54986654438441
CLPP	4.54731121646775
GYG1	4.54704027563815
COPS5	4.5464827118268
ZNF350	4.54209769172633
G0S2	4.54162803599516
IFIT1	4.53679223351175
MRPL50	4.5337636263823
GRAMD1B	4.52307262258669
STX10	4.52174722152217
ANP32B	4.5147979817874
SSB	4.51413351227929
CDKN2C	4.5139471917025
THUMPD2	4.51052537448455
AL355816.2	4.50911471690033
STMN3	4.50167239335634
EIF4E	4.50128062365767
AL132657.1	4.49850702124343
DUSP18	4.48790505817931
YWHAH	4.48464092404852
CACNB4	4.48445329867031
PVT1	4.48072910333295
HAUS2	4.47641816071637
TRIM21	4.47382587193469
COIL	4.47338634556279
LCN2	4.46513082174526
WBP4	4.46380033370136
TUFM	4.46273095758957
ZFAND2A	4.45839145014203
EIF1AD	4.4561009651407
PPP1R17	4.44917689446333
CENPV	4.44773311212727
CEBPG	4.44348631673338
VOPP1	4.44030448646974
PET100	4.43917756401928
ELOVL1	4.43910239373205
ATP5F1B	4.43695630901355
MIEN1	4.43164074741464
EIF2S1	4.42430524820798
FLOT1	4.42200955344841
FADS1	4.42006635926665
USP30	4.41796660404621
TCTEX1D2	4.41624038998332
EXOG	4.41105661918604
FKBP3	4.40868890291838
AC005726.5	4.39918900921603
OTUD7A	4.39713982131485
MIR193BHG	4.38415384647607
NSFL1C	4.37541434686474
TSSC4	4.37501737841047
HIC1	4.36991102453876
NHLRC3	4.36884862238907
AC011447.3	4.36870478073129
TFG	4.36148666404108
YJU2	4.36099640031878
IGHE	4.3504526512518
FAM136A	4.3471813369443
CFAP36	4.34234566570384
STMN1	4.33932654274878
SIRPG	4.33651173145566
CHEK2	4.33355233294139
ASB8	4.33024428229612
PSMB8	4.32988386617993
UTP11	4.32302661092282
VMO1	4.32146021880643
HOPX	4.31280291690615
CHAC2	4.31271616482474
GLRX3	4.31216151509187
ARHGEF26	4.31196879211465
TLCD2	4.30628870410909
COPS4	4.30376424238303
SPARC	4.30160544381262
MRPS35	4.29926192319124
TMEM183A	4.2991428271896
ERH	4.28972967344011
HSF1	4.28304439486206
REC8	4.28225069571905
ZNF766	4.28070435016815
BID	4.27612250784774
MAPK8IP1	4.27272273201287
AL158154.2	4.27077474259602
UBE2D4	4.26728637329623
HNRNPF	4.26647367408537
B3GNT7	4.25918124736299
GNG11	4.25548976335987
BIK	4.25384341635807
MXI1	4.24671623796257
CCDC30	4.2410119461547
ZNF483	4.24073607273323
NR1H2	4.23757989998564
SZRD1	4.23730644575517
ZNF559	4.23489024941272
LY96	4.22792632369994
CNPY2	4.22779490153613
MOCS3	4.22731767931936
S100P	4.22208642839116
RSPH3	4.22041434415776
CD6	4.21529729552663
TXN2	4.21371639842704
ZDHHC3	4.21256131651553
PEF1	4.21150536477308
BRCA1	4.21006713516111
MAIP1	4.20833959252534
HSH2D	4.2032959828838
MRPS14	4.19895489531621
LAMB1	4.19758592296293
CRTC2	4.19113872867438
CISD2	4.18685724138435
POP4	4.18135828687339
ZBTB24	4.17965788758395
AC008083.2	4.1787997707866
COLEC12	4.17746051568509
