gene	cor	rank	what
CTNNA2	0.0661353872110896	138	observed
NPAS2	0.066105664576264	139	observed
PIGC	0.0660929720461722	140	observed
CCDC109B	0.0660649507075607	141	observed
ZPLD1	0.0658681523958985	142	observed
GPC3	0.065354676978551	143	observed
ANKS1B	0.0652452086450183	144	observed
ZNF563	0.0648190223193457	145	observed
ZNF667	0.0647988838907596	146	observed
MGAT4A	0.0646400193666236	147	observed
DGKA	0.0646097793367807	148	observed
RP11-187E13.1	0.064422367617008	149	observed
MAGI2	0.0641125014400096	150	observed
RELN	0.0638503479884183	151	observed
ITPKB	0.0637297881472365	152	observed
SSH2	0.0636439792715959	153	observed
LRRC8D	0.0636108867892411	154	observed
KAT6A	0.0632383801244803	155	observed
L3MBTL4	0.0632303864025052	156	observed
RPTOR	0.0630789322078105	157	observed
NEBL	0.0629407007294959	158	observed
RPSAP58	0.0629070967291792	159	observed
RANBP3	0.0627531459631213	160	observed
TAB2	0.062751887288374	161	observed
ATM	0.0626626446354536	162	observed
TMEM245	0.06253427028511	163	observed
KLHL3	0.0622969889318261	164	observed
ZNF804B	0.0617188949138479	165	observed
SUPT3H	0.0616516786017047	166	observed
NEDD4L	0.061588087252533	167	observed
PASK	0.0614831148067882	168	observed
SDK2	0.0614085169800208	169	observed
ADAMTS12	0.0613050159383115	170	observed
EMR1	0.0612898366216399	171	observed
CALD1	0.0612766569564583	172	observed
AGBL4	0.0612629449464681	173	observed
ZC3H12D	0.0611287822735092	174	observed
SGTB	0.0610531764110763	175	observed
RAB43	0.0610362472948108	176	observed
NCKAP5	0.0609866194803221	177	observed
TPO	0.0609472014617126	178	observed
CTC-432M15.3	0.0608224112376286	179	observed
KLHL29	0.060610727676302	180	observed
KANK4	0.0605340266359845	181	observed
ANKFN1	0.0605293364064126	182	observed
WSCD1	0.0604366472272631	183	observed
NRCAM	0.060299815582751	184	observed
UXS1	0.0599163787197251	185	observed
CASS4	0.0598269514525551	186	observed
PAGR1	0.05947324557361	187	observed
DENND5A	0.059386101469095	188	observed
KCNJ12	0.0591943254984538	189	observed
OXR1	0.059154866025361	190	observed
GADL1	0.0591449492599733	191	observed
PTPRD	0.0589685261453715	192	observed
LINGO2	0.0588069020292392	193	observed
SELP	0.0584799430475033	194	observed
SFMBT1	0.0582528440652484	195	observed
TMTC1	0.0581892982172713	196	observed
GNAI1	0.0581821016810292	197	observed
OPN3	0.0580220333136646	198	observed
SYDE2	0.0580208104765105	199	observed
LRRC7	0.0579991931082827	200	observed
MEIOB	0.0579672218969025	201	observed
PRKG1	0.0579484896179266	202	observed
GAL3ST4	0.057893951100613	203	observed
HOOK1	0.0578334039631042	204	observed
INADL	0.0577565989237953	205	observed
CTB-133G6.1	0.0577008083065675	206	observed
FAIM3	0.0576278839768271	207	observed
SESN3	0.0575781041612611	208	observed
CR2	0.0575492790007421	209	observed
HMCN1	0.0575492514427832	210	observed
RERE	0.057527391365332	211	observed
GCNT4	0.0575100882478192	212	observed
ZNF609	0.0574525438954891	213	observed
AIG1	0.0574407261957125	214	observed
CEP112	0.0574114434610539	215	observed
CNTN5	0.0574052672592778	216	observed
CNTNAP2	0.0573502348622139	217	observed
PIK3CD	0.0572998830099375	218	observed
LRRC4C	0.0572675621830951	219	observed
OXNAD1	0.0571974278735345	220	observed
CNTN4	0.0571670086549858	221	observed
SPATA6L	0.0571565931567144	222	observed
USP44	0.0571180890331041	223	observed
GP5	0.057086744654905	224	observed
UBE2E2	0.0570217737626895	225	observed
TXK	0.0569624882550536	226	observed
CUX2	0.056958532215463	227	observed
LHFPL3	0.0568924256867949	228	observed
CLUAP1	0.0568500149361745	229	observed
HPCAL4	0.0568293968833092	230	observed
GOLGA8M	0.0568118861507706	231	observed
MVP	0.0566394313071895	232	observed
FAM19A2	0.0564860871015221	233	observed
ANO2	0.0564563213695421	234	observed
CAMK4	0.0564163218998958	235	observed
MARCH1	0.0564100174856976	236	observed
GRIP1	0.0563822471647365	237	observed
CD5	0.0563721346050485	238	observed
CD4	0.056256826522313	239	observed
TXNRD2	0.0560558482430773	240	observed
MAL	0.0560546844806448	241	observed
UNC5C	0.0559490669039929	242	observed
FAM19A1	0.0559363734467944	243	observed
USP10	0.0557224042404258	244	observed
NKAIN2	0.0555477992883436	245	observed
C3orf52	0.0554564594970957	246	observed
TCP11L2	0.0552653324326833	247	observed
ZNF44	0.0551397742474428	248	observed
ASCC1	0.0551234990734517	249	observed
CACNA1E	0.0551104046608	250	observed
RP11-382J12.1	0.0550825899681949	251	observed
MFGE8	0.0550766156000114	252	observed
LRRC16A	0.055075664719583	253	observed
CD248	0.0550036547205473	254	observed
CREB5	0.0549723798458674	255	observed
DMD	0.0549532560690993	256	observed
SPINK2	0.054949064964837	257	observed
CEP85L	0.0548100862491118	258	observed
FAM65B	0.0547942371426559	259	observed
NR3C2	0.0547303537673777	260	observed
APBB1	0.0547122641412338	261	observed
GNAQ	0.0546339680284275	262	observed
GIMAP1	0.0544404331499359	263	observed
LY86	0.0543490658140033	264	observed
TLR6	0.0542899782962023	265	observed
LPHN2	0.0542495773924359	266	observed
HK2	0.0542050312956472	267	observed
VIPR1	0.0540165133972742	268	observed
PAIP2B	0.0540058552689334	269	observed
CD101	0.0539102525474967	270	observed
SDK1	0.0539044617048026	271	observed
AC005481.5	0.0538910540763644	272	observed
EGLN2	0.0538759614127832	273	observed
KLF12	0.053799790806686	274	observed
ATP8A2	0.0537514610621936	275	observed
DIP2B	0.0537509374693757	276	observed
LDLRAP1	0.0537468034097124	277	observed
SCAI	0.0536969903026983	278	observed
LRP1B	0.0535341998053823	279	observed
PRKD1	0.0535039573173096	280	observed
CCDC57	0.0533864612855534	281	observed
ADK	0.0532462582460043	282	observed
TBC1D10A	0.0532220571429933	283	observed
CACNA1I	0.0531281219321329	284	observed
SELL	0.0530853840670217	285	observed
CMYA5	0.0530496442182034	286	observed
IL1RAPL2	0.0528891559663347	287	observed
CTNNA3	0.0528476024754308	288	observed
GPX6	0.0528321447033727	289	observed
BTLA	0.0527467579874122	290	observed
RTKN2	0.052701924608523	291	observed
BCL11B	0.0526779357567227	292	observed
EPHX2	0.0526593343768656	293	observed
CHRNB3	0.0526491688715045	294	observed
CEP41	0.0526239910078351	295	observed
CLDN1	0.0525866768476879	296	observed
ABL2	0.0525755317080522	297	observed
NOG	0.0525699063738963	298	observed
RP5-1052I5.2	0.0525654804875595	299	observed
KCTD2	0.052465243573675	300	observed
ZSCAN18	0.0522587185255661	301	observed
CEBPE	0.0521879564108626	302	observed
TDRD12	0.0521703276684469	303	observed
MFSD11	0.0521161458150687	304	observed
ATF6	0.0520615744525703	305	observed
TMEM220	0.0520585817871014	306	observed
MDS2	0.0520384597989241	307	observed
VAC14	0.0519695425341966	308	observed
COX10	0.0518521177835399	309	observed
N4BP2	0.0517397689479714	310	observed
RNF144A	0.0516856971669112	311	observed
YLPM1	0.0516690295648935	312	observed
KIAA0355	0.0516654157579384	313	observed
ROBO2	0.0516139133063333	314	observed
GRIN2B	0.0513753966579012	315	observed
UPP2	0.0513648861806805	316	observed
SNTB1	0.051269260464618	317	observed
PTPRR	0.0512546609731741	318	observed
RAPGEF6	0.0512090816215184	319	observed
SLC40A1	0.0510974566491464	320	observed
UBASH3B	0.0510771080211027	321	observed
PIP5K1B	0.0508752089516694	322	observed
GANAB	0.0508684172293027	323	observed
ZNF516	0.0507770371673363	324	observed
RPA1	0.0507588654216601	325	observed
ISY1-RAB43	0.0507114219637311	326	observed
PKIA	0.0506782302820781	327	observed
MTERFD2	0.0505799786844825	328	observed
SATB1	0.0505766743529135	329	observed
DOCK9	0.0504894065042054	330	observed
IL7R	0.0504665245353462	331	observed
C10orf11	0.0503161172779429	332	observed
TRIM2	0.0502919856550409	333	observed
NOSIP	0.0500692331043877	334	observed
GRID2	0.049993355080505	335	observed
C10orf67	0.0499420447867132	336	observed
CADPS	0.0498910872447406	337	observed
RERG	0.0498824056858311	338	observed
ATP2B2	0.0498493982657632	339	observed
ARHGEF11	0.0498391774831023	340	observed
EYS	0.0498341305756193	341	observed
CD36	0.0498140556721791	342	observed
RFX2	0.0497643816629762	343	observed
CNTNAP5	0.0497365875746956	344	observed
CHRNA6	0.0496838584523567	345	observed
GRM8	0.0495985735172869	346	observed
PELI1	0.0495097496241046	347	observed
LEPROTL1	0.0494857231395378	348	observed
CEACAM21	0.0494650409848726	349	observed
DPP10	0.0494023115150916	350	observed
OLFM2	0.0493640213791917	351	observed
AKAP7	0.0493180507024157	352	observed
SGK1	0.0491563442107554	353	observed
ZNF492	0.0491543229307864	354	observed
C18orf42	0.0490847407904057	355	observed
MKL1	0.0488931056367919	356	observed
GLYAT	0.0488920869918141	357	observed
CIAPIN1	0.048882526856423	358	observed
SIAH3	0.0488428170099773	359	observed
PAX7	0.0487758543147849	360	observed
SCML1	0.0487626942035215	361	observed
HECW1	0.0485572351922314	362	observed
RALGPS2	0.0485495326996961	363	observed
APOH	0.0485317068219426	364	observed
ZNF793	0.0484711055657863	365	observed
ATP6V1G3	0.0482963310649715	366	observed
KCNIP4	0.0482747829144517	367	observed
KBTBD11	0.0482552023887548	368	observed
ZNF709	0.0481877102301656	369	observed
ANKRD31	0.0481567020918407	370	observed
PMEPA1	0.0481007757234537	371	observed
AC018445.1	0.048057387365027	372	observed
DNAH9	0.0479356612050822	373	observed
C20orf196	0.0478962155964205	374	observed
C1orf112	0.0477446575722449	375	observed
SLC28A3	0.0477160260921764	376	observed
CTPS2	0.0476415533567523	377	observed
UBOX5	0.0475873183358381	378	observed
NRG3	0.0475786311433178	379	observed
RAB30	0.0475022384568047	380	observed
CACNA2D1	0.0474332141142078	381	observed
TMEM143	0.0473605443910056	382	observed
VGLL1	0.0473203705939626	383	observed
NDFIP1	0.0473180169839918	384	observed
REG4	0.0473142128175592	385	observed
SPAG16	0.047245184964809	386	observed
PITPNC1	0.0472331492507383	387	observed
USH2A	0.0471787755334314	388	observed
HS6ST3	0.0471686721193963	389	observed
FSTL5	0.0471654868179001	390	observed
PRMT2	0.047153078146306	391	observed
ZMAT3	0.0471408882448054	392	observed
C7orf72	0.0470983775167169	393	observed
PTGFRN	0.0470845828098237	394	observed
ZNF704	0.0470273236851151	395	observed
IL23A	0.0470200952361149	396	observed
C1orf105	0.0468877374420666	397	observed
CCSER1	0.0468711376571306	398	observed
GDF10	0.0466648174757644	399	observed
PARD3	0.0466603164194438	400	observed
SNPH	0.0466167875473759	401	observed
SSTR3	0.0466126512097329	402	observed
TJP3	0.0463099509112698	403	observed
ZNF835	0.0462689253392592	404	observed
C14orf64	0.0462621830367734	405	observed
CTSL	0.0462448710323214	406	observed
R3HDM1	0.0461920467586247	407	observed
ERC2	0.0461635307000201	408	observed
STK38	0.0461412181993469	409	observed
PDE8B	0.0460309334557224	410	observed
FGD5	0.0459012941702612	411	observed
LINS	0.0459011349954752	412	observed
SYN3	0.0457502661395999	413	observed
RREB1	0.0457303648295637	414	observed
CRLF3	0.0457151218200323	415	observed
C14orf166B	0.0456222348498378	416	observed
RP11-770J1.5	0.0456034688350633	417	observed
SERPINF1	0.0455889906438339	418	observed
BAG3	0.0455743655617754	419	observed
CUL9	0.045537636640257	420	observed
PPFIA2	0.0454842957111278	421	observed
PLEKHA1	0.0454832985404041	422	observed
NALCN	0.0454758650071437	423	observed
SHQ1	0.0454209761591656	424	observed
NFATC1	0.0453763388412467	425	observed
DCBLD2	0.045374263334225	426	observed
GPC6	0.0453722252748896	427	observed
DPP6	0.0453553473513423	428	observed
LPHN3	0.0453183402905398	429	observed
RP11-894J14.5	0.0452949911454197	430	observed
PRED60	0.0452936669163705	431	observed
GALNTL6	0.0452512317994862	432	observed
FKBP5	0.045235196899022	433	observed
CKAP4	0.0452209892717563	434	observed
ST6GALNAC1	0.0452023006745432	435	observed
ABLIM1	0.0451623295579773	436	observed
PLLP	0.0450979290265465	437	observed
TCEA3	0.0450058801575756	438	observed
CARNS1	0.0449714212935129	439	observed
L3MBTL3	0.0449320622888303	440	observed
CD200	0.0447616601569275	441	observed
GAL	0.0447607197743278	442	observed
KCND2	0.0447363217180103	443	observed
MGC4294	0.0447338709336405	444	observed
AC022431.2	0.0447183192083953	445	observed
CACNA2D3	0.0447027876281223	446	observed
TCF7	0.0446887421178095	447	observed
SYNE3	0.0446570146299355	448	observed
PPP1R10	0.0446314013335961	449	observed
LRRTM4	0.0445264391155634	450	observed
MTA3	0.0443860410259423	451	observed
SPG20	0.0443824634415018	452	observed
SYT3	0.0443051833143083	453	observed
BTBD11	0.0443005818740627	454	observed
FSBP	0.0442514538092267	455	observed
AIP	0.0442163791972667	456	observed
KRBOX1	0.0441969602729707	457	observed
FGF17	0.0440692067275712	458	observed
KCNJ15	0.0440575388954457	459	observed
SLC9C2	0.0440095769804555	460	observed
HMOX2	0.0439444434264751	461	observed
UMODL1	0.0439065475216739	462	observed
ENPP2	0.0438990926370988	463	observed
SCAND3	0.0438522349115001	464	observed
MID2	0.0437348604162684	465	observed
SLC7A6	0.043727250381445	466	observed
DLG2	0.0437060554593804	467	observed
NRIP1	0.0437039907173297	468	observed
GTF2IRD1	0.0436611234360032	469	observed
CYB561D1	0.0436382813827398	470	observed
CNOT3	0.0436316085733526	471	observed
GPRASP1	0.0436109160289105	472	observed
PREX2	0.0435854132168962	473	observed
KCNT2	0.043572522069228	474	observed
PDE3B	0.0435089256882096	475	observed
STXBP5L	0.0434791905114727	476	observed
SPG20OS	0.0434260335778304	477	observed
PLN	0.0434147744243385	478	observed
LYPD6B	0.043330199299212	479	observed
EPHA6	0.0432882662411172	480	observed
DCHS2	0.0432697408978295	481	observed
CTDSPL	0.0432561502711991	482	observed
THSD7B	0.0432526583891222	483	observed
TRIP11	0.0432269106141339	484	observed
ADD2	0.043214400945753	485	observed
MORC2	0.0431046946199521	486	observed
PROX1	0.0430826639665861	487	observed
MRPS6	0.0430642819428858	488	observed
RNF150	0.0430215019211426	489	observed
ABCA13	0.0429652079527222	490	observed
TMC1	0.0429108126873855	491	observed
IRS2	0.0428967164954238	492	observed
SLC12A7	0.0427766426284096	493	observed
C12orf4	0.042727142253531	494	observed
FAM107B	0.0426643996360871	495	observed
PDE7B	0.0426602327801154	496	observed
TMEM55B	0.0426425614032412	497	observed
DGKZ	0.0426414820576603	498	observed
SLC35A2	0.0425960750480236	499	observed
DNAH11	0.0425578361066951	500	observed
KCNH1	0.0424501162661066	501	observed
GSDMA	0.0424222925575329	502	observed
NAALADL2	0.0423529612715618	503	observed
MEOX1	0.0423362271540685	504	observed
RP11-429E11.3	0.0422665444523875	505	observed
CTD-2535L24.2	0.0422587744724869	506	observed
BNC2	0.0422213408536491	507	observed
BAI3	0.0422115469465013	508	observed
AEN	0.0422083491016646	509	observed
REEP1	0.0421782484184147	510	observed
HIST1H1D	0.0421596289213146	511	observed
CDHR3	0.0421471967627656	512	observed
FGD3	0.0420957915082595	513	observed
PRKAG2	0.0420712268769492	514	observed
CHN1	0.042056362535106	515	observed
CCND3	0.0419221988565757	516	observed
PEG3	0.0418814849926217	517	observed
C4BPB	0.0418698292708123	518	observed
MEGF6	0.0418544297527344	519	observed
CXCR5	0.041827413560552	520	observed
LSAMP	0.041753862182117	521	observed
EXOC6B	0.0417269962228579	522	observed
TAB1	0.0416736350515767	523	observed
RHOH	0.0415639627510185	524	observed
PKHD1	0.0415613867869757	525	observed
ARRB1	0.0415506182079338	526	observed
FAAH2	0.0414868891570011	527	observed
ZBTB18	0.041479771261099	528	observed
ZFP30	0.0414719297054595	529	observed
CNOT6	0.0414208897770917	530	observed
SLC44A5	0.0413846973678054	531	observed
PTPRK	0.0413110251789201	532	observed
TMEM117	0.0412875229288216	533	observed
TMEM243	0.0411881955773656	534	observed
GRM7	0.0411834205552452	535	observed
DCC	0.0411425587595694	536	observed
CA10	0.0410901662971462	537	observed
MSL3	0.0410856242252351	538	observed
TRAT1	0.0410364419149666	539	observed
DIRC3	0.0409753249187033	540	observed
SEMA5A	0.0409025027052584	541	observed
GRIK1	0.040881525161575	542	observed
CD8B	0.0408500950785748	543	observed
ADAMTSL1	0.0408046335592577	544	observed
PITPNM2	0.0407209414411542	545	observed
ARHGEF3	0.0407144170824748	546	observed
GPA33	0.0406536586990548	547	observed
PRDM5	0.0405846149191215	548	observed
STAP1	0.0405842673503049	549	observed
PCDH15	0.0405008146922421	550	observed
RP11-302M6.4	0.0404906630387147	551	observed
CDH18	0.0403607283633421	552	observed
TLDC1	0.0403417038754966	553	observed
FREM1	0.0403106486041074	554	observed
LGR5	0.0403034580025886	555	observed
HFE	0.0402935428458676	556	observed
CDH4	0.0402847914085321	557	observed
BIN3	0.0402059909013545	558	observed
PPP5D1	0.0401182880305117	559	observed
ANO4	0.040098455637078	560	observed
SVOPL	0.0400461838456543	561	observed
ZNF442	0.0400457205389868	562	observed
GAREM	0.0400427290814007	563	observed
FAM155A	0.0400237879278807	564	observed
BCAS3	0.0400217641247379	565	observed
ZNF439	0.040011715557258	566	observed
ZIM2	0.0399877740580483	567	observed
HIST1H2BD	0.0399524456923371	568	observed
GSTK1	0.0399091398732218	569	observed
IFT27	0.0399002184881966	570	observed
HIST1H2AC	0.0398150640042728	571	observed
CSMD2	0.0397749116811735	572	observed
FAM184A	0.0397123247968297	573	observed
MDGA2	0.0396598573066668	574	observed
FAM83F	0.0396210567673579	575	observed
GPR155	0.0396161667771941	576	observed
SCNN1A	0.0394411864727477	577	observed
TPH2	0.039426997048976	578	observed
PDZD2	0.0393743742247809	579	observed
C1QTNF7	0.0392959640966306	580	observed
RGMB	0.0392892542051199	581	observed
MAP4K4	0.0392462540468449	582	observed
SFMBT2	0.0392405124752071	583	observed
LYPD3	0.039177756907159	584	observed
MARCH3	0.0391305823913079	585	observed
RAD21L1	0.0390938902672209	586	observed
SCYL1	0.0390886839514478	587	observed
DGKI	0.0390876134184254	588	observed
TOMM40	0.0390871617095088	589	observed
RP11-123K3.4	0.0390121933384667	590	observed
CREBL2	0.0389678726472082	591	observed
INMT	0.0389621670407016	592	observed
ROBO1	0.0389394588207753	593	observed
CNTLN	0.0389157235691992	594	observed
LTB	0.0387640142963748	595	observed
LCLAT1	0.0386809531329894	596	observed
NRXN1	0.0386695787109816	597	observed
RBM47	0.0385881282003109	598	observed
CACUL1	0.0385464696749535	599	observed
PAG1	0.0385432554056429	600	observed
CYTIP	0.0384901677634345	601	observed
CDC42BPB	0.0384293865047946	602	observed
CYP2A7	0.0384134875863961	603	observed
POLR2E	0.038407705400872	604	observed
LGALS14	0.0383930126684618	605	observed
C11orf88	0.038375070161534	606	observed
ZIK1	0.0383743327448255	607	observed
NFKBIZ	0.0383493722153552	608	observed
PPP1CA	0.0383370059856578	609	observed
RBMS3	0.0383323360650851	610	observed
ST8SIA6	0.0383288946691129	611	observed
LRRN1	0.0383116595866895	612	observed
COG5	0.0382689900042881	613	observed
CD28	0.0382650104248217	614	observed
TPK1	0.0382211544937767	615	observed
FOXJ3	0.0381871510684599	616	observed
NXPH2	0.0381525061218219	617	observed
CRB1	0.0381519528790765	618	observed
LPPR1	0.0381438098221247	619	observed
FOXP2	0.0381424326853341	620	observed
GFRA1	0.0381405897027695	621	observed
CYP2J2	0.0380327690649605	622	observed
RAB4B-EGLN2	0.0380268052682968	623	observed
HS2ST1	0.0379400091759398	624	observed
SIRPG	0.0379249208625201	625	observed
MBOAT4	0.0379171992479154	626	observed
PAPPA2	0.0379037565099891	627	observed
DNAJC5B	0.0378949015124967	628	observed
ADGB	0.0378335562851562	629	observed
EPB41L4B	0.0377817730714348	630	observed
PHEX	0.0377644326557912	631	observed
CLEC3B	0.0377247131440505	632	observed
ERBB4	0.0377061676814247	633	observed
SMAP2	0.0376716703897784	634	observed
IGF1R	0.0376535880787156	635	observed
TSPAN14	0.0376421413051341	636	observed
TREML2	0.037638507407542	637	observed
AKAP6	0.0376128085510374	638	observed
KIAA1324L	0.0376092345096966	639	observed
HIST1H2BC	0.0375909287847245	640	observed
NLRP5	0.0375414282242299	641	observed
DMTN	0.0375302400282198	642	observed
ESRRG	0.0375196329411405	643	observed
AGMAT	0.037488278939651	644	observed
MAGI1	0.0374639770501439	645	observed
GIMAP5	0.0374416646390407	646	observed
FAM198A	0.0374309311289779	647	observed
TMEM204	0.0374095885984345	648	observed
ZNF552	0.0373993188242131	649	observed
LSM4	0.037350743720897	650	observed
TPCN1	0.0373410775494984	651	observed
TYR	0.0373330382436083	652	observed
LSR	0.0373238572108788	653	observed
KRT2	0.0373110899745263	654	observed
TIMM10	0.0372988386657179	655	observed
SLC9A9	0.0372213110935047	656	observed
TECPR1	0.0371966756264003	657	observed
S100Z	0.0371484543577819	658	observed
ZPBP	0.0371456015023084	659	observed
RPS19BP1	0.0371117748638479	660	observed
DNAH6	0.0370511232193548	661	observed
AGPAT3	0.03699277168722	662	observed
DBNDD1	0.036910938870774	663	observed
EVL	0.0369108363985311	664	observed
RGCC	0.0369069076640264	665	observed
HPSE2	0.0368745219273238	666	observed
C3orf17	0.036825413422484	667	observed
TSPAN8	0.0368178155200755	668	observed
TMEM108	0.0367876565165546	669	observed
CLIP1	0.0367607272053622	670	observed
C4orf22	0.0367277935767388	671	observed
NRXN3	0.036666129558267	672	observed
VWC2L	0.0366616530152989	673	observed
PLCXD3	0.0366548136910925	674	observed
HAPLN3	0.0365906188972747	675	observed
IFLTD1	0.0365391717538618	676	observed
ZSCAN5A	0.0364916243294766	677	observed
RASSF3	0.036459167025912	678	observed
HECA	0.0364389084610917	679	observed
CYP2A6	0.0364323620734307	680	observed
RALA	0.0363637266895678	681	observed
TARBP1	0.036349393833188	682	observed
HIST2H2BE	0.036324985702436	683	observed
MYT1L	0.0362916092652677	684	observed
TNRC6B	0.0362887338686897	685	observed
RAD54B	0.0362675800467573	686	observed
AQP9	0.0362597116205973	687	observed
CPNE4	0.0362183875491338	688	observed
CD2	0.0362102282333985	689	observed
YAE1D1	0.0362095797768959	690	observed
AKR1E2	0.0361332977955418	691	observed
MORC4	0.0361073345719238	692	observed
CTD-2006C1.10	0.0360846650646803	693	observed
GYPC	0.0360649278361777	694	observed
IQCJ-SCHIP1	0.0360480961317792	695	observed
GNAT3	0.0360464116806771	696	observed
GJA5	0.0360370139407509	697	observed
ARPC5	0.0360315003792113	698	observed
AL136376.1	0.035994761063241	699	observed
RIMS1	0.0359714176741665	700	observed
MCTP1	0.0359703985776825	701	observed
COL8A2	0.0358888168826078	702	observed
