geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
WP2374	Oncostatin M Signaling Pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2374&label[]=CREB1&label[]=FOS&label[]=GRB2&label[]=HIF1A&label[]=IL6ST&label[]=JAK1&label[]=JAK2&label[]=JUNB&label[]=JUND&label[]=MAPK1&label[]=MAPK14&label[]=MAPK8&label[]=MTOR&label[]=NFKB1&label[]=PIK3R1&label[]=PRKCA&label[]=PRKCB&label[]=PRKCE&label[]=PRKCH&label[]=PTK2B&label[]=PTPN11&label[]=RAF1&label[]=RICTOR&label[]=SOS1&label[]=STAT1&label[]=STAT3&label[]=STAT5B&colors=%23FFD7A6,%23FF8C00,%23FFD29C,%23FFB050,%23FFC47C,%23FFBB6A,%23FFB050,%23FFDEB6,%23FFB862,%23FFCB8C,%23FFC074,%23FFA232,%23FFD29C,%23FF971A,%23FFB152,%23FFAD4A,%23FF991E,%23FF9514,%23FFA73C,%23FFD9AC,%23FFCF96,%23FFDCB2,%23FFAB46,%23FF9618,%23FFD5A2,%23FFD29C,%23FFC278	-0.6625300659695765	-2.0528481416740663	0	0	58	./Project_wg_result1658707711_GSEA/WP2374.png	27	3726;5894;2185;1385;6772;6774;2475;2885;5781;5594;3572;6777;1432;3716;3727;5295;3717;3091;5578;253260;5583;5599;5579;4790;6654;5581;2353	CREB1;FOS;GRB2;HIF1A;IL6ST;JAK1;JAK2;JUNB;JUND;MAPK1;MAPK14;MAPK8;MTOR;NFKB1;PIK3R1;PRKCA;PRKCB;PRKCE;PRKCH;PTK2B;PTPN11;RAF1;RICTOR;SOS1;STAT1;STAT3;STAT5B
WP3931	ESC Pluripotency Pathways	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP3931&label[]=ACTR2&label[]=ACVR1&label[]=AKT3&label[]=APC&label[]=AXIN1&label[]=BMPR1A&label[]=BMPR2&label[]=BRAF&label[]=CTNNB1&label[]=FOS&label[]=GAB1&label[]=GRB2&label[]=GSK3B&label[]=IL6ST&label[]=JAK1&label[]=JUN&label[]=MAP2K5&label[]=MAP2K6&label[]=MAPK1&label[]=MAPK6&label[]=MDM2&label[]=MTOR&label[]=PIK3CD&label[]=PTEN&label[]=PTPN11&label[]=RAF1&label[]=SMAD4&label[]=SOS1&label[]=STAT3&colors=%23FFD9AC,%23FFE6C8,%23FF8C00,%23FFCA8A,%23FFE5C6,%23FFE2C0,%23FFCD90,%23FFA942,%23FFC784,%23FF971A,%23FFD9AC,%23FFD7A6,%23FFAB46,%23FFCA8A,%23FFC37A,%23FFAF4E,%23FFBD6E,%23FFE2BE,%23FFD098,%23FFCF96,%23FFD5A2,%23FFD7A6,%23FFD6A4,%23FFBE70,%23FFD5A2,%23FFE0BA,%23FFDFB8,%23FFA130,%23FFD8A8	-0.6609144156808875	-2.0987423442054216	0	0	68	./Project_wg_result1658707711_GSEA/WP3931.png	29	90;8312;657;5608;5894;4089;10097;2549;6774;2475;2885;5293;5781;4193;5594;5597;659;3572;324;1499;3716;5728;5607;3725;2932;673;6654;2353;10000	ACTR2;ACVR1;AKT3;APC;AXIN1;BMPR1A;BMPR2;BRAF;CTNNB1;FOS;GAB1;GRB2;GSK3B;IL6ST;JAK1;JUN;MAP2K5;MAP2K6;MAPK1;MAPK6;MDM2;MTOR;PIK3CD;PTEN;PTPN11;RAF1;SMAD4;SOS1;STAT3
WP3915	Angiopoietin Like Protein 8 Regulatory Pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP3915&label[]=CBL&label[]=CBLB&label[]=FOXO1&label[]=FOXO3&label[]=GSK3B&label[]=IRS2&label[]=MAP2K4&label[]=MAP2K5&label[]=MAP3K1&label[]=MAP3K14&label[]=MAP3K2&label[]=MAP3K3&label[]=MAP3K4&label[]=MAP3K5&label[]=MAP4K3&label[]=MAP4K4&label[]=MAP4K5&label[]=MAPK1&label[]=MAPK14&label[]=MAPK6&label[]=MAPK8&label[]=MAPKAP1&label[]=MTOR&label[]=PIK3C2A&label[]=PIK3C3&label[]=PIK3CA&label[]=PIK3CB&label[]=PIK3CD&label[]=PIK3R1&label[]=PRKAG2&label[]=PTPN1&label[]=RAPGEF1&label[]=RHOQ&label[]=RICTOR&label[]=SESN3&label[]=SOS1&label[]=SOS2&label[]=SREBF2&colors=%23FFD39E,%23FF8C00,%23FF9618,%23FFD4A0,%23FFAA44,%23FFCF94,%23FFB254,%23FFBC6C,%23FFA83E,%23FFD4A0,%23FF9D26,%23FFCD90,%23FFBB6A,%23FF971A,%23FFBB68,%23FFB256,%23FFBC6C,%23FFD098,%23FFC682,%23FFCF94,%23FFAB46,%23FFD7A6,%23FFD7A6,%23FFBE70,%23FFD19A,%23FFB152,%23FFC988,%23FFD5A2,%23FFB862,%23FFC886,%23FFC988,%23FF971A,%23FFD8AA,%23FFB45A,%23FFBF72,%23FFA02E,%23FFAE4C,%23FFC580	-0.6414538804221471	-2.1326121356580683	0	0	101	./Project_wg_result1658707711_GSEA/WP3915.png	38	23433;79109;2475;5293;9020;2309;867;5289;5594;5597;8660;4215;5770;5291;51422;1432;6721;143686;5286;5607;11183;4216;8491;5295;253260;9448;6416;5290;6655;5599;2932;4214;6654;10746;4217;2889;2308;868	CBL;CBLB;FOXO1;FOXO3;GSK3B;IRS2;MAP2K4;MAP2K5;MAP3K1;MAP3K14;MAP3K2;MAP3K3;MAP3K4;MAP3K5;MAP4K3;MAP4K4;MAP4K5;MAPK1;MAPK14;MAPK6;MAPK8;MAPKAP1;MTOR;PIK3C2A;PIK3C3;PIK3CA;PIK3CB;PIK3CD;PIK3R1;PRKAG2;PTPN1;RAPGEF1;RHOQ;RICTOR;SESN3;SOS1;SOS2;SREBF2
WP3972	PDGFR-beta pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP3972&label[]=FOS&label[]=GRB2&label[]=JAK1&label[]=JAK2&label[]=JUN&label[]=MAP2K4&label[]=MAP3K1&label[]=MAPK8&label[]=PIK3CA&label[]=PIK3R1&label[]=PRKCA&label[]=PRKCB&label[]=RASA1&label[]=SOS1&label[]=STAT1&label[]=STAT3&label[]=STAT5B&colors=%23FF8C00,%23FFD29C,%23FFBB6A,%23FFB050,%23FFA538,%23FFA840,%23FF9E28,%23FFA232,%23FFA83E,%23FFB152,%23FFAD4A,%23FF991E,%23FFB254,%23FF9618,%23FFD5A2,%23FFD29C,%23FFC278	-0.7856920872119268	-2.153869829815458	0	0	28	./Project_wg_result1658707711_GSEA/WP3972.png	17	6772;6774;2885;6777;3716;5921;5295;3717;5578;6416;5290;3725;5599;4214;5579;6654;2353	FOS;GRB2;JAK1;JAK2;JUN;MAP2K4;MAP3K1;MAPK8;PIK3CA;PIK3R1;PRKCA;PRKCB;RASA1;SOS1;STAT1;STAT3;STAT5B
WP2261	Signaling Pathways in Glioblastoma	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2261&label[]=AKT3&label[]=ATM&label[]=BRAF&label[]=CBL&label[]=CDK6&label[]=EP300&label[]=FOXO1&label[]=FOXO3&label[]=GAB1&label[]=GRB2&label[]=IGF1R&label[]=MAP2K4&label[]=MAP2K5&label[]=MAPK1&label[]=MDM2&label[]=NF1&label[]=PIK3C2A&label[]=PIK3CA&label[]=PIK3CB&label[]=PIK3CD&label[]=PIK3R1&label[]=PLCG2&label[]=PRKCA&label[]=PRKCB&label[]=PRKCH&label[]=PRKCQ&label[]=PTEN&label[]=RB1&colors=%23FF9B22,%23FFC57E,%23FFB55C,%23FFD9AC,%23FFCD90,%23FFCD90,%23FFA538,%23FFD9AC,%23FFDEB6,%23FFDCB2,%23FFCB8C,%23FFBC6C,%23FFC682,%23FFD7A6,%23FFDAAE,%23FFCA8A,%23FFC784,%23FFBB6A,%23FFD098,%23FFDBB0,%23FFC37A,%23FF8C00,%23FFC074,%23FFB152,%23FFBB68,%23FFC784,%23FFC784,%23FFC682	-0.675109994546232	-2.1675123742120985	0	0	76	./Project_wg_result1658707711_GSEA/WP2261.png	28	2549;2885;5293;4193;2309;867;5594;5291;1021;2033;3480;4763;5588;5728;5286;5925;5607;472;5295;5578;6416;5290;5583;673;5579;2308;10000;5336	AKT3;ATM;BRAF;CBL;CDK6;EP300;FOXO1;FOXO3;GAB1;GRB2;IGF1R;MAP2K4;MAP2K5;MAPK1;MDM2;NF1;PIK3C2A;PIK3CA;PIK3CB;PIK3CD;PIK3R1;PLCG2;PRKCA;PRKCB;PRKCH;PRKCQ;PTEN;RB1
WP107	Translation Factors	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP107&label[]=EEF1A1&label[]=EEF1B2&label[]=EEF1D&label[]=EEF2&label[]=EIF1&label[]=EIF2S2&label[]=EIF3D&label[]=EIF3E&label[]=EIF3F&label[]=EIF3G&label[]=EIF3H&label[]=EIF3I&label[]=EIF4A2&label[]=EIF4H&label[]=EIF5A&label[]=EIF6&label[]=PABPC1&colors=%234682B4,%236395BF,%236798C1,%235E92BE,%23548BB9,%23CDDDEA,%238AB0CF,%237EA8CB,%236899C2,%239ABBD6,%238AB0CF,%23A9C4DC,%23ABC6DD,%23C3D6E6,%23C7D9E8,%23B6CDE1,%239BBCD6	0.6705138469303388	2.1958219149310643	0	1.1515407207218224e-4	45	./Project_wg_result1658707711_GSEA/WP107.png	17	1915;10209;1938;1933;1936;8665;3646;8667;8664;8666;26986;8668;1974;3692;7458;1984;8894	EEF1A1;EEF1B2;EEF1D;EEF2;EIF1;EIF2S2;EIF3D;EIF3E;EIF3F;EIF3G;EIF3H;EIF3I;EIF4A2;EIF4H;EIF5A;EIF6;PABPC1
WP534	Glycolysis and Gluconeogenesis	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP534&label[]=ENO1&label[]=GAPDH&label[]=LDHA&label[]=LDHB&label[]=MDH1&label[]=MDH2&label[]=MPC2&label[]=PGAM1&label[]=PKM&label[]=TPI1&colors=%237DA7CA,%234682B4,%2384ACCD,%234A84B5,%23C0D4E5,%238AB0CF,%23A9C4DC,%239BBCD6,%2396B8D4,%237AA5C9	0.6686656836533315	2.0703027088961408	0	3.948139613903391e-4	31	./Project_wg_result1658707711_GSEA/WP534.png	10	2597;3945;7167;2023;3939;4191;5315;5223;25874;4190	ENO1;GAPDH;LDHA;LDHB;MDH1;MDH2;MPC2;PGAM1;PKM;TPI1
WP1946	Cori Cycle	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1946&label[]=GAPDH&label[]=LDHA&label[]=PGAM1&label[]=TALDO1&label[]=TPI1&colors=%234682B4,%2384ACCD,%239BBCD6,%23A9C4DC,%237AA5C9	0.7991226952261602	1.9391193729224434	0	0.0037137188243278776	10	./Project_wg_result1658707711_GSEA/WP1946.png	5	2597;7167;3939;5223;6888	GAPDH;LDHA;PGAM1;TALDO1;TPI1
WP4629	Computational Model of Aerobic Glycolysis	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP4629&label[]=ENO1&label[]=GAPDH&label[]=LDHA&label[]=PKM&label[]=TPI1&colors=%237DA7CA,%234682B4,%2384ACCD,%2396B8D4,%237AA5C9	0.8158932555884448	1.9085900836162193	0	0.005143548552557474	10	./Project_wg_result1658707711_GSEA/WP4629.png	5	2597;7167;2023;3939;5315	ENO1;GAPDH;LDHA;PKM;TPI1
WP2359	Parkin-Ubiquitin Proteasomal System pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2359&label[]=CASP1&label[]=HSPA1A&label[]=HSPA5&label[]=HSPA8&label[]=PSMC1&label[]=PSMC2&label[]=PSMC3&label[]=PSMC4&label[]=PSMC5&label[]=PSMD13&label[]=PSMD2&label[]=PSMD3&label[]=PSMD4&label[]=PSMD6&label[]=PSMD7&label[]=PSMD8&label[]=STUB1&label[]=TUBA1B&label[]=TUBA4A&label[]=TUBB&label[]=UBE2J2&label[]=UBE2L3&label[]=UBE2L6&colors=%23B0C9DF,%23D4E2ED,%23CEDEEB,%234682B4,%23B6CDE1,%23C4D7E7,%23BBD1E3,%23C4D7E7,%23A4C1DA,%23D0DFEC,%23CDDDEA,%23D7E4EF,%23A3C0D9,%23C9DAE9,%23C1D5E6,%23B0C9DF,%23ABC6DD,%23A3C0D9,%23CCDCEA,%2383ABCC,%23D6E3EE,%23A9C4DC,%23B1CADF	0.5204618659132395	1.8683213706923736	0	0.009811126940549926	57	./Project_wg_result1658707711_GSEA/WP2359.png	23	3312;203068;10376;5710;5705;7332;10273;5714;834;9246;5700;5702;5713;5704;5701;9861;7277;5708;3309;5719;3303;118424;5709	CASP1;HSPA1A;HSPA5;HSPA8;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMD13;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;STUB1;TUBA1B;TUBA4A;TUBB;UBE2J2;UBE2L3;UBE2L6
