BARCODE	CXCL14	GPR85	C12orf54	LINC01641
GTEX-1128S-2626-SM-5H11Z	124.6	0.836	0.3398	0
GTEX-1128S-2726-SM-5H12C	126.6	4.12	0.9104	0
GTEX-1128S-2826-SM-5N9DI	3.629	5.309	0.1697	0
GTEX-113IC-0006-SM-5NQ9C	0.3388	0.1409	0	0
GTEX-113IC-0008-SM-5QGRF	0.968	1.738	0.08984	0
GTEX-113IC-0126-SM-5HL6T	2292	0.5313	0.4927	0
GTEX-113IC-0226-SM-5HL5C	2092	0.7569	0.5527	0
GTEX-113IC-0426-SM-5HL5O	1258	0.8103	0.3381	0
GTEX-113IC-0526-SM-5HL76	1381	0.764	0.8116	0
GTEX-113JC-0006-SM-5O997	0.561	0.02459	0.1149	0
GTEX-113JC-0008-SM-5QGR6	1.113	1.154	0.174	0
GTEX-113JC-0126-SM-5EGJW	27.3	0.1054	0.6157	0
GTEX-113JC-0726-SM-5GZZR	212.9	0.3633	0.6953	0
GTEX-113JC-0926-SM-5H114	9.81	0.3135	0.7908	0
GTEX-113JC-1026-SM-5H117	4.427	0.1875	0.6163	0
GTEX-113JC-1926-SM-5N9GE	72.94	0.1381	1	0
GTEX-113JC-2226-SM-5EGJG	77.09	0.1402	0.5461	0
GTEX-113JC-2326-SM-5EQ4E	1895	0.1696	0.2667	0
GTEX-113JC-2726-SM-5EGIS	53.59	0.02718	0.1905	0
GTEX-113JC-2826-SM-5EGIT	3.214	0.5942	0.3905	0
GTEX-117XS-0005-SM-5PNU6	0.2334	0.03559	0	0
GTEX-117XS-0008-SM-5Q5DQ	0.7412	1.646	0.06475	0
GTEX-117XS-0426-SM-5GZZN	2.104	0.176	0.699	0
GTEX-117XS-0526-SM-5987Q	142.1	0.1519	1.941	0
GTEX-117XS-0726-SM-5H131	20.67	0.3111	0.04911	0
GTEX-117XS-1926-SM-5GICO	411.7	0.294	0.4907	0
GTEX-117XS-2026-SM-5GID1	6.001	4.663	121	0
GTEX-117XS-2226-SM-5GIE1	12.19	0.2766	2.17	0
GTEX-117XS-2526-SM-5H11G	47.13	0	0.07126	0
GTEX-117XS-2726-SM-5N9BL	2127	0.05266	0.6432	0
GTEX-117XS-2926-SM-5N9BX	4.484	1.603	0.6888	0
GTEX-117XS-3026-SM-5N9CA	116.8	8.245	1.537	0
GTEX-117XS-3126-SM-5GIDP	3.667	7.517	0.5042	0
GTEX-117YW-0005-SM-5NQ8Z	0.2979	0	0.03403	0
GTEX-117YW-0008-SM-5QGRD	1.113	1.027	0.04723	0
GTEX-117YW-0126-SM-5EGGN	116.3	0.2391	1.979	0
GTEX-117YW-0226-SM-5N9CM	20.07	0.2738	0.8973	0
GTEX-117YW-0326-SM-5N9CY	22.37	0.03086	0.01803	0
GTEX-117YW-0426-SM-5GZZZ	1.758	0.06349	0.1374	0
GTEX-117YW-0526-SM-5H11C	44.56	1.118	0.3088	0
GTEX-117YW-0826-SM-5H11O	85.06	1.157	0.2472	0
GTEX-117YW-1426-SM-5EGGO	18.34	0.2383	1.925	0
GTEX-117YW-1526-SM-5EGGP	6.642	5.501	82.22	0
GTEX-117YW-1826-SM-5PNY5	250.3	0.04477	0	0
GTEX-117YW-1926-SM-5H121	124.4	0.1039	1.123	0
GTEX-117YW-2026-SM-5N9BH	8.495	0.2909	0.3268	0
GTEX-117YW-2226-SM-5N9DB	17.6	0.1115	0.0362	0
GTEX-117YW-2426-SM-5Q5AE	32.44	0.008017	0.1405	0
GTEX-117YW-2626-SM-5GZZH	2195	0.1525	0.6511	0
GTEX-117YW-2726-SM-5GZZT	1361	0.05308	0.4264	0
GTEX-117YW-2826-SM-5H116	8.394	1.138	0.3932	0
GTEX-117YX-0126-SM-5EGH5	5.086	0.05621	0.4515	0
GTEX-117YX-0226-SM-5EGH6	2.301	0.008357	0	0
GTEX-117YX-0326-SM-5GICL	8.989	0.1892	0.2976	0
GTEX-117YX-0526-SM-5EGJH	27.11	0.179	0.2816	0
GTEX-117YX-0626-SM-5EGJI	23.93	2.426	0.02132	0
GTEX-117YX-0726-SM-5GIET	109.1	0.3554	0.1021	0
GTEX-117YX-0826-SM-5H11J	8.093	0.2427	0.3222	0
GTEX-117YX-1026-SM-5H11V	47.47	0.02965	0.05774	0
GTEX-117YX-1126-SM-5H128	1.288	0.0418	0	0
GTEX-117YX-1226-SM-5H11S	60.51	0.07942	0.5413	0
GTEX-117YX-1326-SM-5H125	0.8064	0.1988	0.2903	0
GTEX-117YX-1426-SM-5H12H	238.8	0.08679	0.1087	0
GTEX-117YX-1526-SM-5H12T	3.688	0.4896	0.6694	0
GTEX-117YX-1726-SM-5GZZS	46.03	0.3234	0.4235	0
GTEX-117YX-1826-SM-5H12K	18.66	0.2696	0.6749	0
GTEX-117YX-1926-SM-5GIEC	271.8	0.05936	0.2522	0
GTEX-117YX-2026-SM-5GIEF	6.921	0.3935	12.4	0
GTEX-117YX-2126-SM-5GIEL	21.01	1.261	0.3608	0
GTEX-117YX-2226-SM-5EGJJ	102.4	0.2198	0.2304	0
GTEX-117YX-2326-SM-5H12W	302.7	0.02303	0.37	0
GTEX-117YX-2426-SM-5GZZJ	80.11	0.07224	0.5627	0
GTEX-117YX-2526-SM-5EQ4Q	24.55	0.05195	0.06744	0
GTEX-117YX-2626-SM-5EQ53	6.057	0.06936	0.3647	0
GTEX-1192W-0005-SM-5NQBQ	0.3549	0	0	0
GTEX-1192W-0008-SM-5QGRE	0.9489	1.53	0	0
GTEX-1192W-0126-SM-5EGGS	22.26	0.208	0.6076	0
GTEX-1192W-0226-SM-5EGGT	19.94	0.4543	0.0553	0
GTEX-1192W-2626-SM-5Q5AF	1199	0.2224	1.375	0
GTEX-1192W-3026-SM-5GZZV	1.945	0.8285	0.8587	0
GTEX-1192X-0005-SM-5NQC3	0.1785	0	0	0
GTEX-1192X-0008-SM-5Q5B7	0.409	1.131	0	0
GTEX-1192X-0011-R10a-SM-DO941	104.6	6.413	1.887	0
GTEX-1192X-0011-R5a-SM-DNZZA	76.21	6.226	0.5702	0
GTEX-1192X-0011-R6a-SM-DNZZB	70.9	4.449	0.3354	0
GTEX-1192X-0011-R7b-SM-DNZZC	65.3	5.977	0.9576	0
GTEX-1192X-0011-R8b-SM-DO11U	27.76	7.26	0.5715	0
GTEX-1192X-0011-R9b-SM-DO934	8.197	6.06	0.5962	0
GTEX-1192X-0226-SM-5H12D	671.3	0.1178	0.1721	0
GTEX-1192X-0326-SM-5H11U	121	0.3588	0.3493	0
GTEX-1192X-0426-SM-5GIEE	59.89	0.07637	0.1487	0
GTEX-1192X-0726-SM-5987R	10.58	0.2972	0.1127	0
GTEX-1192X-1126-SM-5EGGU	55.95	0.2311	0.5625	0
GTEX-1192X-1526-SM-5H11I	353.9	0.9845	0.6487	0
GTEX-1192X-1826-SM-5GIE2	32.49	0.2429	0.1892	0
GTEX-1192X-2326-SM-5987X	52.33	0.2568	0.4468	0
GTEX-1192X-2526-SM-59868	85.77	1.012	1.175	0
GTEX-1192X-2726-SM-5N9DN	361.5	0.06082	0.5814	0
GTEX-1192X-2926-SM-5N9BA	92.43	0.3295	3.788	0
GTEX-1192X-3026-SM-5N9BM	0.451	0.7088	0.3349	0
GTEX-1192X-3126-SM-5N9BY	91.23	4.743	0.7096	0
GTEX-1192X-3226-SM-5987D	1.425	5.321	0.485	0
GTEX-11DXW-0006-SM-5NQ7Y	1.618	0.02284	0	0
GTEX-11DXW-0008-SM-5Q59V	1.022	1.047	0.04743	0
GTEX-11DXW-0011-R1a-SM-DNZZD	99.16	3.697	0.7418	0
GTEX-11DXW-0011-R3b-SM-DNZZE	150.8	4.57	0.7771	0
GTEX-11DXW-0011-R5b-SM-DO11D	74.46	2.586	0.7523	0
GTEX-11DXW-0011-R6a-SM-DO11N	60.19	3.869	0.6889	0
GTEX-11DXW-0011-R7b-SM-DO119	58.79	5.101	0.5728	0
GTEX-11DXW-0226-SM-5H122	1868	0.1816	0.5893	0
GTEX-11DXW-0326-SM-5H11W	752.1	0.153	0.311	0
GTEX-11DXW-0426-SM-5H12E	1035	0.2049	2.072	0
GTEX-11DXW-0526-SM-5H127	334.8	0.09598	0.6008	0
GTEX-11DXW-0626-SM-5N9ER	423.4	0.4239	1.154	0
GTEX-11DXW-0726-SM-5H12J	51.95	0.007671	0.1344	0
GTEX-11DXW-0826-SM-5H118	1090	0.09161	0.9031	0
GTEX-11DXW-1026-SM-5H11K	7.649	4.459	0.958	0
GTEX-11DXW-1126-SM-5H12Q	124.6	4.397	0.8659	0
GTEX-11DXW-1226-SM-5H133	2.432	0.9964	0.4909	0
GTEX-11DXX-0005-SM-5NQ8B	0.1743	0	0	0
GTEX-11DXX-0008-SM-5Q5B8	0.6245	2.13	0	0
GTEX-11DXX-0126-SM-5EGH7	2.235	0.2841	0.2263	0
GTEX-11DXX-0226-SM-5P9HL	60.29	0.1868	0.3119	0
GTEX-11DXX-0326-SM-5PNWC	0.6309	0.1193	0.04357	0
GTEX-11DXX-0426-SM-5EQ5F	13.51	0.5522	0.2372	0
GTEX-11DXX-0526-SM-5PNVR	0.5114	0.4853	0	0
GTEX-11DXX-0626-SM-5Q5AG	1.672	0.3682	0.5378	0
GTEX-11DXX-0726-SM-5H12X	17.46	1.746	0.5601	0
GTEX-11DXX-0826-SM-5GZZP	89.26	0.3471	0.3259	0
GTEX-11DXX-0926-SM-5H112	2.483	0.01387	0.08103	0
GTEX-11DXX-1026-SM-5H11E	6.293	0.2126	0.1863	0
GTEX-11DXX-1126-SM-5GZZK	115	0.169	7.823	0
GTEX-11DXX-1226-SM-5GICD	5.008	0.375	0.03086	0
GTEX-11DXX-1326-SM-5GIDZ	25.64	0.1137	0.0664	0
GTEX-11DXX-1426-SM-5GIDU	4.83	0.1916	0.539	0
GTEX-11DXX-1526-SM-5H115	9.058	0.1838	0.5052	0
GTEX-11DXX-1626-SM-5H11H	99.52	0.1051	0.04724	0
GTEX-11DXX-1726-SM-5H11T	82.21	0.2754	7.763	0
GTEX-11DXX-1826-SM-5H126	82.69	0.04962	0	0
GTEX-11DXX-1926-SM-5EGJK	9.638	0.2311	0.5739	0
GTEX-11DXX-2026-SM-5EGJL	116	0.24	0	0
GTEX-11DXX-2126-SM-5PNYR	626	0.1253	0.1416	0
GTEX-11DXX-2326-SM-9YFKS	53.08	0.4721	0.1779	0
GTEX-11DXX-2426-SM-5GZZW	620.1	0.06476	0.8377	0
GTEX-11DXX-2526-SM-5H119	37.91	0.1968	0.7457	0
GTEX-11DXX-2626-SM-5Q5A3	21.33	0.06509	0.2282	0
GTEX-11DXX-2726-SM-5PNXO	20.13	0.02992	0.153	0
GTEX-11DXY-0006-SM-5NQ8N	0.04523	0.0115	0	0
GTEX-11DXY-0008-SM-5QGR4	0.5552	0.7879	0.0687	0
GTEX-11DXY-0011-R10b-SM-DO12C	68.03	6.391	1.26	0
GTEX-11DXY-0011-R11a-SM-DNZZN	2.065	6.808	0.8563	0
GTEX-11DXY-0011-R5b-SM-DNZZL	85.03	6.607	0.5016	0
GTEX-11DXY-0011-R6a-SM-DNZZF	43.23	6.472	0.694	0
GTEX-11DXY-0011-R7a-SM-DO11L	63.99	6.358	0.3977	0
GTEX-11DXY-0011-R8a-SM-DO11M	28.64	6.682	0.9471	0
GTEX-11DXY-0126-SM-5H11Q	1627	0.07145	0.7155	0
GTEX-11DXY-0226-SM-5H123	15.77	0.692	5.826	0
GTEX-11DXY-0326-SM-5H12F	417.2	0.9439	0.04025	0
GTEX-11DXY-0426-SM-5H12R	27.71	0.3696	1.439	0
GTEX-11DXY-0526-SM-5EGGQ	28	0	0	0
GTEX-11DXY-0826-SM-5EGGR	7.932	0.02754	0.01609	0
GTEX-11DXY-1026-SM-5987V	4.783	0.1448	0.1559	0
GTEX-11DXY-1126-SM-5987W	2.004	0.606	0.904	0
GTEX-11DXY-1326-SM-5987Z	32.97	0.07234	0.3522	0
GTEX-11DXY-1426-SM-5N9CN	124.5	0.02778	1.623	0
GTEX-11DXY-1526-SM-5H129	8.942	0.1881	0.09157	0
GTEX-11DXY-1626-SM-5H12L	48.39	0.1808	2.311	0
GTEX-11DXY-2026-SM-5N9CZ	22.77	0.2171	1.24	0
GTEX-11DXY-2326-SM-5GICW	865.6	0.3	0.2337	0
GTEX-11DXY-2626-SM-5GIE7	2041	0.1358	0.9124	0
GTEX-11DXY-2726-SM-5GID2	81.28	0.01205	0.3168	0
GTEX-11DXY-3026-SM-5N9CB	0.8627	1.117	0.5318	0
GTEX-11DXY-3126-SM-5N9BT	1.519	6.177	0.2467	0
GTEX-11DXY-3226-SM-5GIDE	109.6	5.649	0.9458	0
GTEX-11DXZ-0006-SM-5LZZH	0.2314	0.04902	0	0
GTEX-11DXZ-0126-SM-5EGGY	28.6	0.1019	0	0
GTEX-11DXZ-0226-SM-5EGGZ	3.623	0.1011	0.4593	0
GTEX-11DXZ-0326-SM-5EGH1	9.075	1.057	0	0
GTEX-11DXZ-0426-SM-5987Y	10.83	0.1323	0.3313	0
GTEX-11DXZ-0526-SM-5GU7J	168.6	1.188	0.5591	0
GTEX-11DXZ-0626-SM-5GU77	10.49	0.145	0	0
GTEX-11DXZ-0726-SM-5N9C4	50.53	0.5482	0.03906	0
GTEX-11DXZ-0926-SM-5N9CG	164	0.1727	0.584	0
GTEX-11DXZ-1026-SM-5N9D5	12.72	0.07365	0.4303	0
GTEX-11DXZ-1226-SM-5H11L	221.7	0.06317	1.322	0
GTEX-11DXZ-1326-SM-5H11X	284.2	0.07825	0.05714	0
GTEX-11DXZ-1426-SM-5H12A	729.5	0.1954	0.2429	0
GTEX-11DXZ-1626-SM-5GIDI	12.58	0.3368	0.7984	0
GTEX-11DXZ-1726-SM-5H12M	301.7	0.04709	0	0
GTEX-11DXZ-1826-SM-5H12Y	7.25	0.08345	0.4875	0
GTEX-11DXZ-1926-SM-5GZZL	546.4	0.07995	0.1557	0
GTEX-11DXZ-2026-SM-5987S	986.9	0.07338	0.5001	0
GTEX-11DXZ-2126-SM-59881	2.316	3.729	34.02	0
GTEX-11DXZ-2326-SM-5EGGV	1375	0.02328	2.108	0
GTEX-11DXZ-2426-SM-5N9DT	66.9	0.02898	0.3668	0
GTEX-11DXZ-2526-SM-5N9BG	110.6	0.261	2.768	0
GTEX-11DXZ-2626-SM-59882	53.57	0.08382	0.4007	0
GTEX-11DYG-0006-SM-5NQB2	0.4558	0.02106	0	0
GTEX-11DYG-0008-SM-5QGR5	0.8058	0.9184	0	0
GTEX-11DYG-0011-R10b-SM-DNZZO	58.97	4.65	0.6855	0
GTEX-11DYG-0011-R11a-SM-DNZZP	3.326	5.672	0.2694	0
GTEX-11DYG-0011-R5a-SM-DO928	79.92	4.119	0.3791	0
GTEX-11DYG-0011-R6a-SM-DO936	8.526	3.281	0.3763	0
GTEX-11DYG-0011-R7b-SM-EXUS6	78.3	3.684	0.6341	0
GTEX-11DYG-0011-R8a-SM-DO93F	44.71	3.553	0.2709	0
GTEX-11DYG-0126-SM-59883	2687	0.02267	0.1656	0
GTEX-11DYG-0426-SM-5987J	601.6	0.551	2.587	0
GTEX-11DYG-0826-SM-5N9GH	37.82	0.5056	0.2433	0
GTEX-11DYG-0926-SM-5EGGW	77.51	0.2794	1.27	0
GTEX-11DYG-1026-SM-5A5JQ	2.137	1.187	0.05333	0
GTEX-11DYG-1226-SM-5N9DC	104	0.2169	0.3167	0
GTEX-11DYG-1326-SM-5N9DO	70.52	0.2591	4.214	0
GTEX-11DYG-1426-SM-5A5JR	16.26	0.2602	0.4645	0
GTEX-11DYG-1526-SM-5A5JS	1615	0.03635	0.2427	0
GTEX-11DYG-1926-SM-5H12I	19.1	0.2932	0.6471	0
GTEX-11DYG-2026-SM-5EGGX	346.6	0.8641	0.285	0
GTEX-11DYG-2526-SM-5N9BB	9.263	0.3466	1.221	0
GTEX-11DYG-2926-SM-5H132	3.689	5.335	0.2435	0
GTEX-11DYG-3126-SM-5A5L6	0.7523	0.4462	0.4138	0
GTEX-11DZ1-0008-SM-5QGR3	1.032	1.208	0	0
GTEX-11DZ1-0011-R10b-SM-DO943	142.9	4.962	0.4914	0
GTEX-11DZ1-0011-R11b-SM-DO11W	2.574	8.723	0.3114	0
GTEX-11DZ1-0011-R2a-SM-DNZZM	19.7	4.298	0.6386	0
GTEX-11DZ1-0011-R3a-SM-DNZYY	80.73	4.867	0.2657	0
GTEX-11DZ1-0011-R5a-SM-DO11J	46.56	3.648	0.2445	0
GTEX-11DZ1-0011-R6b-SM-DNZZG	51.65	3.24	0.2631	0
GTEX-11DZ1-0011-R7a-SM-DNZZH	49.32	4.205	0.3478	0
GTEX-11DZ1-0011-R8b-SM-DNZZI	48.23	3.689	0.322	0
GTEX-11DZ1-0011-R9a-SM-DO933	3.901	3.37	0.4614	0
GTEX-11DZ1-0126-SM-5985Q	403.2	0.2638	0.3607	0
GTEX-11DZ1-0226-SM-5A5KF	150	1.399	0.06462	0
GTEX-11DZ1-0326-SM-5N9BN	69.84	1.815	0.08506	0
GTEX-11DZ1-0426-SM-5H11A	48.83	0.881	0.4603	0
GTEX-11DZ1-0926-SM-5EQ5R	54.26	0.04932	0.3962	0
GTEX-11DZ1-2026-SM-5A5KG	170.8	0.4186	3.212	0
GTEX-11DZ1-2426-SM-5GZZX	268.5	0.3579	1.014	0
GTEX-11DZ1-2726-SM-5A5KH	46.73	1.047	0.05363	0
GTEX-11DZ1-2926-SM-5A5KI	3.859	7.227	0.1723	0
GTEX-11EI6-0005-SM-5N9GN	0.4911	0.03329	0.02431	0
GTEX-11EI6-0008-SM-5QGR7	0.436	1.053	0	0
GTEX-11EI6-0011-R10a-SM-DO93R	100.3	7.03	0.5542	0
GTEX-11EI6-0011-R11a-SM-DO11V	2.781	5.441	0.1916	0
GTEX-11EI6-0011-R1a-SM-DO93L	47.75	5.696	0.4048	0
GTEX-11EI6-0011-R8a-SM-DO93M	16.76	2.165	0.2842	0
GTEX-11EI6-0126-SM-5985R	2137	0.06047	0.1766	0
GTEX-11EI6-0226-SM-5EQ64	751.3	0.2927	0.4366	0
GTEX-11EI6-0326-SM-5EQ6G	107.9	0.01653	0.2575	0
GTEX-11EI6-0426-SM-5EQ43	351.1	0.3723	1.481	0
GTEX-11EI6-0526-SM-5985S	57.4	0.1702	0.7873	0
GTEX-11EI6-0626-SM-5985T	1451	0.4782	1.101	0
GTEX-11EI6-0726-SM-59866	389	0.2952	1.194	0
GTEX-11EI6-0826-SM-5985V	45.68	0.5012	0.1985	0
GTEX-11EI6-1526-SM-5P9GL	54.67	0.04909	1.874	0
GTEX-11EI6-2226-SM-5EGJM	6.276	6.209	135.1	0
GTEX-11EI6-2426-SM-5PNVS	42.66	0.2296	0.7927	0
GTEX-11EI6-2626-SM-5PNVT	55.65	0.1777	1.038	0
GTEX-11EI6-2826-SM-5H11D	1761	0.1025	0.599	0
GTEX-11EI6-2926-SM-5985U	5.034	5.818	0.2937	0
GTEX-11EI6-3026-SM-5GZZO	204	6.164	0.73	0
