gene	cpm_P1	cpm_P2	cpm_C1	P1_C1_log2FC	P1_C1_pvalue	P1_C1_padj	P2_C1_log2FC	P2_C1_pvalue	P2_C1_padj
ERRFI1	116.4	216.4	44.3	1.17	6.494e-60	2.909e-58	2.06	1.268e-183	2.179e-181
SLC45A1	1.3	2.1	1.4	-0.01	0.8648	0.9117	0.08	0.1034	0.1652
RERE	41	47.4	35.8	0.14	0.0335	0.06897	0.35	2.316e-08	1.127e-07
ENO1	390.8	392.4	478.8	-0.3	1.553e-14	1.536e-13	-0.22	3.463e-10	1.982e-09
GPR157	1.8	1.1	2.9	-0.11	0.07338	0.1337	-0.18	0.0008088	0.002197
MIR34AHG	2.7	3	2.6	0.01	0.9204	0.9481	0.04	0.4536	0.553
LINC01759	4.7	3	2.4	0.2	0.001776	0.005156	0.07	0.2477	0.3413
H6PD	19.2	13.5	14.1	0.24	0.001537	0.004528	-0.01	0.9429	0.9587
SPSB1	12.9	10.8	12.3	0.03	0.6923	0.7831	-0.07	0.3792	0.4794
SLC25A33	29.3	32.2	27.2	0.07	0.3243	0.4473	0.21	0.001924	0.004869
TMEM201	5.4	4.6	5.2	0.01	0.8877	0.9275	-0.04	0.6106	0.6973
PIK3CD	1.4	2.2	5	-0.33	2.466e-07	1.313e-06	-0.24	0.0001729	0.0005207
PIK3CD-AS2	2.2	1.6	10.1	-0.62	7.826e-17	8.944e-16	-0.67	3.068e-21	3.388e-20
CLSTN1	63	60.7	68.5	-0.11	0.09128	0.1605	-0.1	0.09256	0.1503
CTNNBIP1	61.3	75.9	59.2	0.03	0.5749	0.6874	0.35	3.555e-09	1.876e-08
LZIC	38.1	37	43.1	-0.14	0.038	0.07674	-0.13	0.05454	0.09583
NMNAT1	6.9	6.4	6.4	0.03	0.6466	0.7466	0.02	0.7859	0.841
UBE4B	30.6	29.3	31	-0.02	0.8198	0.8794	-0.01	0.8534	0.8923
KIF1B	43.4	46.9	53.2	-0.24	0.0003396	0.001143	-0.1	0.104	0.1659
PGD	76.8	68.6	54.6	0.41	6.76e-11	5.085e-10	0.33	1.015e-07	4.63e-07
CENPS-CORT	1.4	0.9	1.1	0.03	0.5063	0.6266	-0.02	0.6008	0.6889
CENPS	5.2	5.1	4.7	0.04	0.6214	0.7265	0.05	0.4909	0.5895
DFFA	48.7	57.1	67.6	-0.39	1.034e-09	7.041e-09	-0.16	0.009663	0.02105
PEX14	8.6	10.9	11.7	-0.2	0.01235	0.02891	-0.02	0.757	0.8181
CASZ1	0.5	0.5	1.9	-0.15	0.0006763	0.002153	-0.15	0.0006469	0.001784
TARDBP	31.8	34.9	35.8	-0.13	0.06976	0.128	0.01	0.8462	0.8873
SRM	370	418.4	338.1	0.11	0.003491	0.009424	0.33	7.734e-22	8.769e-21
EXOSC10	20.2	18.6	25.5	-0.22	0.004246	0.01123	-0.25	0.000591	0.00164
MTOR	35.2	33.9	37.2	-0.06	0.3658	0.4913	-0.06	0.4054	0.5061
UBIAD1	12.4	14.5	11.5	0.05	0.5281	0.6471	0.2	0.00799	0.0177
FBXO44	2.5	6.2	3.2	-0.07	0.2681	0.3856	0.28	4.272e-05	0.0001404
FBXO6	2.1	3.3	2.2	-0.01	0.8947	0.9325	0.12	0.04335	0.0787
MAD2L2	78.2	75.9	107.2	-0.41	2.628e-11	2.047e-10	-0.39	1.524e-11	9.718e-11
AGTRAP	36.6	47	36.2	0.01	0.9144	0.9448	0.33	1.445e-07	6.49e-07
MTHFR	5.4	5.8	5.4	-0.01	0.9186	0.9469	0.05	0.4752	0.5741
CLCN6	6.8	7.6	6.7	0.01	0.9291	0.9544	0.09	0.2383	0.3307
KIAA2013	24.8	28.7	23.1	0.06	0.3931	0.5179	0.25	0.0004103	0.001169
PLOD1	103	119.2	67.3	0.52	6.706e-18	8.094e-17	0.77	9.959e-40	2.101e-38
MFN2	35.3	42.1	38.1	-0.09	0.2028	0.3098	0.15	0.01686	0.03434
MIIP	19.8	22	28	-0.33	1.458e-05	6.118e-05	-0.2	0.006485	0.01466
TNFRSF1B	2.2	2.3	6	-0.33	1.374e-06	6.708e-06	-0.31	2.82e-06	1.092e-05
VPS13D	20.3	23.1	21.8	-0.07	0.3778	0.5036	0.09	0.2089	0.2962
DHRS3	7.3	6.5	3.4	0.31	1.062e-05	4.566e-05	0.28	5.377e-05	0.0001738
PRDM2	18.5	17.4	23.1	-0.2	0.008869	0.0215	-0.22	0.003949	0.009398
KAZN	24.8	22.4	17.5	0.31	4.158e-05	0.0001636	0.25	0.0004866	0.001369
TMEM51	1.1	2.3	2.7	-0.15	0.00463	0.01212	-0.03	0.6532	0.7347
FHAD1	0.4	0.1	2.1	-0.18	6.486e-05	0.0002477	-0.21	4.392e-08	2.078e-07
EFHD2	53.3	70.5	46.7	0.14	0.02749	0.05824	0.53	7.468e-18	7.164e-17
CASP9	3.7	3.6	2.7	0.09	0.1446	0.2352	0.1	0.117	0.1834
DNAJC16	12.6	11.8	11.7	0.04	0.5723	0.6853	0.03	0.6546	0.7356
AGMAT	6.5	1.7	2.6	0.33	1.076e-06	5.323e-06	-0.08	0.145	0.219
DDI2	13.8	13.8	12.6	0.06	0.42	0.5448	0.1	0.198	0.2839
PLEKHM2	25	28.2	24.5	0.01	0.8389	0.8926	0.18	0.01243	0.02635
FBLIM1	114	125.1	70.8	0.59	4.504e-24	7.03e-23	0.77	9.795e-43	2.213e-41
UQCRHL	111.3	118.1	103.5	0.09	0.09793	0.1701	0.22	2.428e-05	8.278e-05
AL450998.2	10.6	6.8	6.6	0.27	0.0003225	0.001091	0.04	0.5913	0.6808
SPEN	29.9	30.7	33.5	-0.12	0.08893	0.1571	-0.05	0.4886	0.5872
ZBTB17	14.7	14.1	13.9	0.04	0.639	0.7406	0.04	0.6122	0.6988
HSPB7	21.9	29.8	155.5	-2.28	1.041e-133	1.425e-131	-1.95	7.306e-115	5.772e-113
FAM131C	1.2	1.4	1.1	0.01	0.8142	0.8752	0.03	0.46	0.5591
EPHA2	21	28.9	15	0.28	0.000282	0.0009655	0.63	4.689e-18	4.519e-17
AL451042.2	1.1	1.3	1.4	-0.03	0.4685	0.5899	0	0.9816	0.988
ARHGEF19	3.2	4.9	2.7	0.05	0.4598	0.5827	0.21	0.0009239	0.002486
CPLANE2	2.6	2.1	1.9	0.07	0.2404	0.3537	0.02	0.6556	0.7366
FBXO42	7.2	13	9.3	-0.15	0.05515	0.1053	0.25	0.0007339	0.00201
SZRD1	128.7	148.2	136.3	-0.08	0.1075	0.1838	0.16	0.0007259	0.001989
NECAP2	29.9	30.9	34.6	-0.16	0.02929	0.06149	-0.08	0.2674	0.3619
NBPF1	25.1	40.4	29.3	-0.15	0.03586	0.07306	0.39	6.311e-09	3.252e-08
CROCC	9.8	11.9	13.8	-0.24	0.002574	0.007174	-0.08	0.3206	0.4196
BX284668.5	5.8	6.8	8.2	-0.17	0.02331	0.05047	-0.08	0.3096	0.408
MFAP2	80.8	177.2	70.9	0.16	0.01041	0.02489	1.24	2.45e-114	1.924e-112
ATP13A2	28.9	35.5	14.9	0.59	3.205e-15	3.323e-14	0.85	4.901e-33	8.149e-32
SDHB	84.6	85.3	101.6	-0.24	3.071e-05	0.0001232	-0.17	0.001374	0.003592
AL590644.1	6	2.8	2.4	0.31	2.16e-06	1.024e-05	0.05	0.3934	0.4937
RCC2	28.3	34.8	18.7	0.38	2.685e-07	1.425e-06	0.64	5.628e-20	5.888e-19
ARHGEF10L	8	10.7	5.4	0.19	0.01004	0.02411	0.4	4.418e-08	2.089e-07
ALDH4A1	5	4.6	5	0	0.9642	0.9774	-0.01	0.8005	0.8523
IFFO2	5.3	8.1	6.6	-0.11	0.1596	0.2553	0.13	0.06336	0.1092
UBR4	60.1	58.3	80.2	-0.36	1.074e-08	6.629e-08	-0.34	1.62e-08	8.003e-08
AL035413.1	2	1.1	1.4	0.06	0.238	0.3511	-0.03	0.4754	0.5742
EMC1	19.9	22.8	17.1	0.13	0.0932	0.1632	0.29	7.483e-05	0.0002379
MRTO4	26.2	30.3	34.8	-0.3	4.624e-05	0.0001808	-0.1	0.1362	0.2079
AKR7A2	88.7	80.7	123	-0.42	7.924e-14	7.528e-13	-0.49	4.924e-19	4.944e-18
PQLC2	13.7	13.5	13	0.04	0.6427	0.7438	0.06	0.4483	0.5482
CAPZB	204.7	231.5	265.3	-0.36	2.43e-18	2.989e-17	-0.14	0.0003294	0.0009515
MINOS1	60.4	73.9	81.2	-0.37	1.167e-09	7.911e-09	-0.07	0.217	0.3057
NBL1	34.8	43.7	100.4	-1.26	7.457e-77	4.627e-75	-0.96	2.966e-52	8.635e-51
TMCO4	10.2	10.3	10.2	0	0.9678	0.9798	0.03	0.6602	0.7402
OTUD3	7.5	7	6.7	0.05	0.4942	0.6147	0.04	0.5901	0.6797
CAMK2N1	3.4	8.6	16.8	-0.89	1.704e-28	3.206e-27	-0.45	8.228e-09	4.189e-08
MUL1	22.8	18.5	18.7	0.17	0.022	0.04799	0.02	0.7343	0.7986
CDA	8.3	6.6	46.9	-1.51	4.638e-83	3.278e-81	-1.63	2.143e-100	1.45e-98
PINK1	39.8	37.4	59.5	-0.46	2.969e-12	2.508e-11	-0.48	8.616e-14	6.466e-13
PINK1-AS	1.1	1.2	1.3	-0.03	0.5454	0.6615	0	0.9604	0.9712
DDOST	49.1	51.9	59	-0.22	0.0007272	0.002299	-0.1	0.09563	0.1545
KIF17	0.6	1.2	1	-0.04	0.2365	0.3495	0.02	0.5721	0.6642
SH2D5	1	3	2.2	-0.13	0.009325	0.02251	0.09	0.1237	0.1921
HP1BP3	180.2	171.7	172.9	0.05	0.3039	0.4257	0.04	0.3906	0.4913
EIF4G3	59.3	65.5	57.6	0.03	0.6287	0.732	0.2	0.00061	0.001689
ECE1	64.3	70.9	41	0.51	8.861e-16	9.481e-15	0.69	1.742e-29	2.595e-28
NBPF3	3.9	9.9	6.6	-0.22	0.002352	0.006626	0.26	0.000547	0.001529
ALPL	2.4	31.2	1.6	0.08	0.1637	0.2604	1.67	5.048e-118	4.17e-116
USP48	51.5	57.8	66.1	-0.3	1.595e-06	7.702e-06	-0.11	0.05708	0.09972
HSPG2	129.1	138.8	108	0.22	9.279e-05	0.0003453	0.37	1.655e-11	1.052e-10
CDC42	127.4	135.6	119.6	0.08	0.1451	0.2359	0.22	1.58e-05	5.537e-05
ZBTB40	7.9	7.4	6.6	0.08	0.2494	0.3643	0.08	0.2841	0.3801
EPHB2	22.4	14.6	5.7	0.94	2.299e-34	5.337e-33	0.6	5.413e-16	4.652e-15
KDM1A	36.2	36.3	35.9	0.01	0.933	0.9574	0.06	0.3917	0.4921
LUZP1	74.5	86.6	61.5	0.22	0.0003097	0.001051	0.47	8.179e-16	6.95e-15
LINC01355	2.6	2.1	2.8	-0.03	0.6948	0.7849	-0.06	0.3128	0.4113
HNRNPR	118.5	109	159.3	-0.4	1.837e-13	1.698e-12	-0.45	1.787e-17	1.676e-16
ZNF436	5.2	4.4	3.5	0.14	0.03505	0.07175	0.09	0.1558	0.2324
ZNF436-AS1	2.5	2.9	3	-0.05	0.3833	0.5092	-0.01	0.9395	0.9565
TCEA3	27.1	25.3	21.3	0.22	0.002569	0.00716	0.2	0.005493	0.01268
ASAP3	13.1	7	5	0.55	3.25e-13	2.951e-12	0.18	0.01102	0.02363
E2F2	1.2	1.5	1.4	-0.02	0.6991	0.7883	0.01	0.7798	0.8365
ID3	499.6	465.2	1095.6	-1.11	3.015e-124	3.653e-122	-1.15	9.159e-130	8.826e-128
RPL11	2342.2	2359.4	2361.2	-0.03	0.1411	0.2305	0.03	0.14	0.2126
ELOA	37	42.7	33.2	0.11	0.1074	0.1837	0.32	1.15e-06	4.655e-06
ELOA-AS1	2.8	2.6	2.9	-0.01	0.8615	0.9097	-0.01	0.8198	0.8676
PITHD1	65.3	59.1	82.8	-0.3	1.586e-06	7.665e-06	-0.37	1.171e-09	6.421e-09
LYPLA2	33.2	47.1	29	0.14	0.05402	0.1034	0.57	2.806e-18	2.729e-17
GALE	15	22.8	13.5	0.08	0.3026	0.4245	0.48	1.152e-10	6.881e-10
HMGCL	7.8	9.1	10.5	-0.19	0.01865	0.04165	-0.06	0.4016	0.5025
FUCA1	2.1	5	1.3	0.09	0.08449	0.1504	0.37	3.532e-10	2.02e-09
PNRC2	78.5	59.8	61.7	0.29	3.116e-06	1.449e-05	0.01	0.8591	0.8973
SRSF10	89.7	81.7	98.5	-0.13	0.02778	0.0588	-0.18	0.001013	0.002706
STPG1	11	11.5	15.2	-0.24	0.002876	0.0079	-0.18	0.02115	0.04184
NIPAL3	39.8	50.7	71.4	-0.69	9.984e-25	1.598e-23	-0.37	6.545e-09	3.361e-08
RCAN3	14.9	9.4	53.6	-1.28	1.887e-66	9.677e-65	-1.57	1.736e-100	1.188e-98
SRRM1	119.3	128.1	141.5	-0.23	1.046e-05	4.504e-05	-0.09	0.08103	0.1343
CLIC4	419.7	506.4	244.4	0.73	2.337e-64	1.161e-62	1.06	2.957e-139	3.271e-137
RUNX3	1.1	0.9	11.7	-0.84	6.752e-30	1.342e-28	-0.86	1.928e-33	3.306e-32
SYF2	29.3	29.6	32.5	-0.11	0.125	0.2086	-0.06	0.4188	0.5194
RSRP1	54	41.9	94.1	-0.68	2.111e-25	3.474e-24	-0.93	2.878e-46	7.192e-45
TMEM50A	166.1	179.8	331	-0.95	4.296e-103	3.989e-101	-0.79	7.052e-86	3.769e-84
MACO1	26.3	20.9	23.1	0.12	0.09526	0.1661	-0.06	0.4581	0.5578
LDLRAP1	19.5	19.2	20.2	-0.04	0.6221	0.727	-0.02	0.8651	0.9012
SELENON	34.4	33.6	35.8	-0.05	0.5103	0.6303	-0.03	0.7288	0.7953
MTFR1L	23.2	30.9	26.9	-0.14	0.05261	0.1012	0.18	0.008583	0.01892
AUNIP	3.8	3	4	-0.01	0.8433	0.896	-0.08	0.2076	0.2947
PAQR7	3.1	2.5	2.7	0.03	0.6085	0.7153	-0.02	0.8041	0.8549
STMN1	383.8	315.8	625.2	-0.69	2.852e-37	7.127e-36	-0.91	6.228e-60	2.118e-58
PAFAH2	4.1	6.2	4	0.01	0.9174	0.9464	0.2	0.00452	0.01061
EXTL1	2.1	2.6	1.3	0.08	0.1098	0.1872	0.14	0.00573	0.01316
PDIK1L	2.5	1.8	2.5	0	0.9747	0.9835	-0.06	0.266	0.3606
AL391650.1	0.5	2.5	0.8	-0.04	0.2798	0.3991	0.18	0.0001646	0.0004973
ZNF593	102.2	177.2	106.7	-0.06	0.2609	0.3776	0.72	1.439e-48	3.837e-47
CEP85	5.4	5.8	4.4	0.08	0.2401	0.3534	0.13	0.05176	0.09156
SH3BGRL3	4373.7	4237	3102.4	0.48	7.573e-118	8.45e-116	0.49	4.824e-105	3.507e-103
UBXN11	8.7	7	6.8	0.13	0.07728	0.1396	0.04	0.6293	0.7143
DHDDS	20.9	21.2	17.7	0.14	0.0684	0.1258	0.19	0.00871	0.01917
HMGN2	1290.4	974.2	1290.9	-0.01	0.7215	0.8059	-0.35	1.072e-22	1.269e-21
ARID1A	43.3	51.9	41	0.06	0.3917	0.5166	0.31	7.766e-07	3.21e-06
PIGV	8.8	9.5	9.1	-0.02	0.7965	0.8626	0.06	0.4614	0.5605
ZDHHC18	8.3	11.2	9.2	-0.06	0.4406	0.5648	0.15	0.04121	0.07539
GPN2	13.1	11.3	13	0	0.9532	0.9704	-0.08	0.3352	0.4345
GPATCH3	10.3	8	9.5	0.05	0.514	0.6342	-0.08	0.2783	0.3738
NUDC	81.9	81.1	113.1	-0.42	1.291e-12	1.119e-11	-0.38	2.111e-11	1.337e-10
TRNP1	7.3	8.9	33.7	-1.23	1.754e-52	6.544e-51	-1.09	7.141e-46	1.757e-44
TENT5B	3.4	3	2.4	0.09	0.1321	0.218	0.07	0.2477	0.3413
SLC9A1	17.7	19.3	15.1	0.13	0.0957	0.1668	0.24	0.001183	0.003127
WDTC1	21.2	20.6	17.3	0.17	0.02409	0.05186	0.19	0.01054	0.02275
TMEM222	23.6	24.7	30	-0.24	0.001157	0.00351	-0.15	0.02838	0.05423
MAP3K6	8.5	6.2	10.5	-0.13	0.09506	0.1659	-0.29	0.0001908	0.0005707
GPR3	1.2	0.7	1	0.02	0.6129	0.719	-0.04	0.3169	0.4153
WASF2	220.6	217.6	229.8	-0.07	0.1024	0.1767	-0.03	0.4588	0.5582
AHDC1	17.4	19.6	17.7	-0.02	0.8538	0.9035	0.12	0.08728	0.1429
IFI6	6.8	12.7	12.4	-0.37	3.135e-06	1.457e-05	0.04	0.5577	0.651
FAM76A	9.6	10.2	12.8	-0.2	0.01153	0.02723	-0.13	0.08403	0.1386
STX12	52.5	49.8	43.1	0.22	0.0006398	0.002048	0.21	0.0008893	0.0024
PPP1R8	22	23.7	24.9	-0.12	0.1165	0.1963	-0.01	0.8917	0.9217
THEMIS2	1.2	1.6	2.7	-0.15	0.006919	0.01732	-0.11	0.04843	0.08653
RPA2	12.5	12.7	14.1	-0.1	0.236	0.3492	-0.05	0.5142	0.6107
XKR8	15.8	18.8	18.8	-0.15	0.05779	0.1093	0.03	0.6312	0.7151
EYA3	12.3	11.8	10.7	0.09	0.2488	0.3637	0.09	0.2267	0.3174
DNAJC8	80.9	77	94.9	-0.21	0.000458	0.001506	-0.21	0.0001901	0.0005688
ATP5IF1	228.4	217	241.9	-0.08	0.03904	0.07849	-0.1	0.01681	0.03425
SESN2	13.8	22.9	8.5	0.32	4.219e-05	0.000166	0.8	3.246e-26	4.342e-25
MED18	3.4	2.9	4.6	-0.11	0.1128	0.1914	-0.14	0.03141	0.05927
PHACTR4	42.8	40.1	32.7	0.29	2.267e-05	9.269e-05	0.26	6.196e-05	0.0001986
RCC1	26.3	22.9	32.6	-0.22	0.002315	0.006538	-0.31	1.322e-05	4.68e-05
TRNAU1AP	22.2	25.8	37.7	-0.53	2.992e-13	2.723e-12	-0.35	4.09e-07	1.754e-06
SNHG12	25	25.7	26.1	-0.04	0.5629	0.6772	0.02	0.7106	0.7807
TAF12	63.1	66.2	70.2	-0.13	0.03009	0.06292	-0.03	0.6544	0.7355
RAB42	1.5	1.2	5.4	-0.35	5.513e-08	3.169e-07	-0.38	8.378e-10	4.646e-09
LINC01715	1.7	1.9	1.6	0.01	0.7756	0.8475	0.04	0.4293	0.5296
GMEB1	14.1	14.3	15.8	-0.09	0.2322	0.3446	-0.05	0.5262	0.622
YTHDF2	65.7	65.2	62.7	0.05	0.4143	0.5393	0.09	0.1116	0.1762
EPB41	9.1	9.9	7.7	0.09	0.2277	0.3398	0.18	0.01827	0.03681
TMEM200B	1.8	6.3	14.1	-0.9	4.989e-31	1.032e-29	-0.48	3.991e-10	2.267e-09
SRSF4	80.7	79.7	111.6	-0.42	1.068e-12	9.304e-12	-0.38	1.723e-11	1.095e-10
MECR	19.9	21.1	18.2	0.08	0.3145	0.4371	0.17	0.02157	0.04257
LAPTM5	0.9	2.1	20	-1.28	2.089e-59	9.26e-58	-1.15	1.734e-49	4.714e-48
SDC3	24.8	25.6	19.6	0.21	0.004448	0.0117	0.29	7.885e-05	0.0002495
PUM1	39.6	40.7	38.9	0.01	0.8242	0.8824	0.09	0.1427	0.216
SNRNP40	22.5	21.8	31.8	-0.35	3.708e-06	1.705e-05	-0.33	3.218e-06	1.237e-05
ZCCHC17	72.8	80.1	81.8	-0.15	0.01149	0.02717	0.02	0.7025	0.774
FABP3	1.3	3.8	1.1	0.02	0.6503	0.7495	0.27	8.167e-07	3.367e-06
SERINC2	120.3	91.3	119.7	0	0.9483	0.9677	-0.31	1.425e-07	6.407e-07
TINAGL1	10.5	7.6	3.3	0.54	6.064e-14	5.787e-13	0.37	4.431e-08	2.095e-07
PEF1	33.9	35.4	39.5	-0.17	0.01464	0.03365	-0.08	0.2387	0.331
COL16A1	28.4	18.5	30.4	-0.07	0.308	0.4301	-0.43	2.665e-09	1.42e-08
ADGRB2	4.9	6.2	1.5	0.31	3.573e-07	1.87e-06	0.43	2.779e-12	1.873e-11
SPOCD1	128.2	156.5	61	0.93	1.151e-52	4.331e-51	1.25	2.304e-100	1.551e-98
