p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	color
8.00703557222237e-29	0.155052504361585	0.205	0.078	1.62006350732775e-24	CD8A	FALSE
8.26587408499467e-29	0.195511888613144	0.382	0.192	1.67243430361697e-24	HS6ST3	FALSE
1.04401721388721e-28	0.204351404406013	0.344	0.165	2.112360028858e-24	RGS1	FALSE
1.21114095392218e-28	0.127836328850294	0.146	0.045	2.45050149207074e-24	UTS2B	FALSE
1.42056902616928e-28	0.123162076640555	0.151	0.048	2.8742373106483e-24	CCDC50	FALSE
2.33852443918243e-28	0.306483472548048	0.661	0.439	4.7315364977978e-24	MICAL2	FALSE
2.3703604841153e-28	0.310652275729477	0.645	0.432	4.79595036751048e-24	VAV3	FALSE
3.06978172016954e-28	0.299958645404738	0.626	0.404	6.21108935441903e-24	SGCZ	FALSE
6.69077827234333e-28	0.126745565960829	0.126	0.036	1.35374516784323e-23	EPGN	FALSE
9.51188433216963e-28	0.176301761881062	0.271	0.121	1.92453955692788e-23	PLXND1	FALSE
1.04455604044157e-27	0.159076766007677	0.23	0.095	2.11345023662543e-23	FGFR1	FALSE
1.19808559657434e-27	0.175662909483319	0.286	0.131	2.42408658754885e-23	CDYL2	FALSE
1.32804258337483e-27	0.232709543855515	0.361	0.184	2.6870285589423e-23	GAS7	FALSE
1.70680470681076e-27	0.221086430524773	0.217	0.089	3.45337796329022e-23	CALN1	FALSE
1.84908069545267e-27	0.136890937888005	0.17	0.06	3.74124497110939e-23	SMAD1	FALSE
1.98361975256208e-27	0.193683158699054	0.307	0.147	4.01345784535886e-23	TIMP2	FALSE
2.7177922714609e-27	0.158783421779586	0.186	0.07	5.49890910284684e-23	SLCO4C1	FALSE
2.80733081638983e-27	0.192387480572414	0.314	0.15	5.68007244080155e-23	KCNH8	FALSE
2.8676619509437e-27	0.17142822740145	0.3	0.14	5.80214042534439e-23	FMNL2	FALSE
3.93721141897773e-27	0.148143067391883	0.16	0.055	7.96615986401765e-23	SCN3A	FALSE
7.21736204163891e-27	0.278810511179042	0.753	0.539	1.4602888618848e-22	SPEF2	FALSE
1.01064502927506e-26	0.132074325959859	0.144	0.047	2.04483808773222e-22	RASSF8	FALSE
1.20973654877603e-26	0.28967897000191	0.662	0.446	2.44765995913854e-22	ARHGEF7	FALSE
1.41610585905476e-26	0.218466935481919	0.42	0.231	2.86520698462549e-22	FAM155A	FALSE
1.62491387647033e-26	0.139700332194678	0.185	0.07	3.28768824626242e-22	ST3GAL6	FALSE
1.7875709007064e-26	0.130988905733284	0.177	0.065	3.61679220339925e-22	DAB2IP	FALSE
1.8268410872277e-26	0.191597436353134	0.348	0.176	3.69624757178781e-22	TLE1	FALSE
2.27565922812938e-26	0.224917720808963	0.587	0.365	4.60434131627417e-22	CTNNA2	FALSE
3.66660558975097e-26	0.234752304833825	0.516	0.308	7.41864308974314e-22	PSD3	FALSE
3.85091874599868e-26	0.147152231210299	0.243	0.105	7.79156389877912e-22	BTBD3	FALSE
4.8125226972463e-26	0.246049291984497	0.523	0.314	9.73717717333844e-22	BCL2L11	FALSE
5.21302739014135e-26	0.240245311573521	0.4	0.219	1.0547518318473e-21	COL25A1	FALSE
5.32279132622534e-26	0.23322643695959	0.424	0.236	1.07696036903517e-21	YBX3	FALSE
5.44397030018309e-26	0.266443457545092	0.567	0.358	1.10147851083604e-21	SMAD3	FALSE
5.96891407901001e-26	0.170584674458655	0.284	0.133	1.20769038560609e-21	TMEM200A	FALSE
6.07664372854525e-26	0.14131065182518	0.169	0.062	1.22948732559656e-21	TBC1D9	FALSE
8.03740313208571e-26	0.266776541879575	0.539	0.336	1.6262077757149e-21	AK9	FALSE
9.58466615659957e-26	0.188690588225715	0.328	0.163	1.93926550346479e-21	RIT2	FALSE
1.1219165910895e-25	0.260271273644301	0.472	0.279	2.26997383875138e-21	RBM47	FALSE
1.22281143845379e-25	0.223301587635436	0.399	0.215	2.47411438342355e-21	ARHGAP32	FALSE
1.77371373693862e-25	0.284978304311792	0.631	0.423	3.58875500394792e-21	TCF12	FALSE
1.97425449003108e-25	0.22248486244669	0.486	0.28	3.99450910967987e-21	CD99	FALSE
3.29964848156577e-25	0.196326692127919	0.307	0.15	6.67617877275203e-21	UNC5D	FALSE
4.68993192657621e-25	0.129464704520587	0.136	0.044	9.48913926704165e-21	POU3F3	FALSE
4.99413246154882e-25	0.289518779070981	0.877	0.698	1.01046282094517e-20	FAM13A	FALSE
6.01793273288527e-25	0.165209682483039	0.252	0.114	1.21760832984468e-20	KCTD8	FALSE
6.2282974307019e-25	0.210924944094933	0.425	0.237	1.26017141915391e-20	AC022431.2	FALSE
9.13132362021922e-25	0.26600390883526	0.584	0.376	1.84754070807896e-20	NRG3	FALSE
9.74191947381347e-25	0.261207840883101	0.607	0.397	1.97108256713668e-20	LRRTM4	FALSE
1.08289005185371e-24	0.249038011632505	0.395	0.215	2.19101144191561e-20	NRG1	FALSE
2.34031063797448e-24	0.199256163610803	0.306	0.151	4.73515051381376e-20	GPR158	FALSE
2.52026046317247e-24	0.206465302162567	0.266	0.125	5.09924299513686e-20	ZBTB7C	FALSE
2.56148077187623e-24	0.25442847490554	0.575	0.362	5.18264404573717e-20	FLNB	FALSE
3.96183646950792e-24	0.286355479545326	0.763	0.577	8.01598372875538e-20	FBXL17	FALSE
5.0221649064112e-24	0.308320201963748	0.77	0.593	1.01613462551418e-19	VPS13B	FALSE
5.86427658369701e-24	0.281093293927525	0.845	0.668	1.18651908117942e-19	SIK3	FALSE
6.82268123675175e-24	0.154778594755151	0.263	0.123	1.38043309463198e-19	PXDNL	FALSE
7.20020327449157e-24	0.234611214819621	0.592	0.376	1.45681712852788e-19	AGPAT5	FALSE
7.33350387751213e-24	0.155046252315329	0.218	0.095	1.48378783953703e-19	DCHS2	FALSE
7.72870003480213e-24	0.122659534037963	0.178	0.069	1.56374787804151e-19	CCR6	FALSE
1.00568091152161e-23	0.280713984496326	0.779	0.585	2.03479418828167e-19	LPP	FALSE
1.31948303460163e-23	0.2152320102608	0.576	0.355	2.66971002390947e-19	SNTG1	FALSE
1.97422235691048e-23	0.131123083449466	0.171	0.067	3.99444409473697e-19	DDC8	FALSE
2.0116619267271e-23	0.163813743188807	0.314	0.16	4.07019557634695e-19	DNMBP	FALSE
2.02378948540084e-23	0.208472269780054	0.331	0.17	4.09473326581153e-19	BMPR1B	FALSE
2.13683344768403e-23	0.292054410611006	0.69	0.492	4.3234551146991e-19	LRRC4C	FALSE
2.26042145713481e-23	0.143790555018319	0.168	0.064	4.57351073422086e-19	VCAN	FALSE
4.99442916072238e-23	0.264450629860693	0.768	0.563	1.01052285208896e-18	RP11-145E5.5	FALSE
5.45974236874238e-23	0.112337724087531	0.12	0.038	1.10466967346765e-18	TSPAN13	FALSE
6.44197766863425e-23	0.272010643538409	0.745	0.541	1.30340534169477e-18	OSBPL3	FALSE
8.70039698276606e-23	0.243589249297417	0.8	0.592	1.76035132152306e-18	MAST4	FALSE
8.9791351849241e-23	0.151415343010335	0.241	0.112	1.81674842196569e-18	ELOVL4	FALSE
1.02614804755982e-22	0.285911265687971	0.817	0.634	2.07620534462778e-18	BTBD11	FALSE
1.05948700875694e-22	0.225531621482828	0.44	0.259	2.14366006481791e-18	RYR2	FALSE
1.09754375263881e-22	0.228606465225236	0.5	0.303	2.22066027471409e-18	ZNF385D	FALSE
1.17601402931694e-22	0.166314000505283	0.276	0.135	2.37942918551696e-18	DACT1	FALSE
1.76604532945073e-22	0.224026018559778	0.531	0.329	3.57323951507766e-18	ZNF704	FALSE
1.84789755512961e-22	0.150527544267302	0.249	0.117	3.73885112329374e-18	ANKRD50	FALSE
2.09556945550429e-22	0.172034292842852	0.294	0.15	4.23996567932182e-18	SAMD12	FALSE
2.51465773065556e-22	0.271641449354256	0.878	0.716	5.08790698643539e-18	SATB1	FALSE
2.69868702240602e-22	0.183181636531948	0.455	0.262	5.46025345243411e-18	TCF7L2	FALSE
2.93709981403095e-22	0.166966756073613	0.284	0.143	5.94263405372881e-18	ZNF496	FALSE
2.95337572097524e-22	0.213515630232877	0.448	0.265	5.97556509624921e-18	CEP128	FALSE
3.67314207417779e-22	0.197776145990082	0.354	0.193	7.43186835868392e-18	ZNF595	FALSE
3.86747099150666e-22	0.171348839030606	0.352	0.188	7.82505405711543e-18	LZTS1	FALSE
4.2584603461883e-22	0.208083537113241	0.341	0.185	8.61614281844279e-18	BHLHE40	FALSE
5.41662683653716e-22	0.243959181563544	0.617	0.417	1.09594610783656e-17	CTIF	FALSE
9.5828199971773e-22	0.245759360512091	0.638	0.431	1.93889197002888e-17	EXT1	FALSE
9.63441537167872e-22	0.122962749149777	0.247	0.116	1.94933126215175e-17	ENOX1	FALSE
9.80957248198972e-22	0.258479951160762	0.729	0.54	1.98477080028098e-17	SLC9A9	FALSE
1.25841078480249e-21	0.175253417274578	0.301	0.155	2.54614254089088e-17	KIAA1958	FALSE
1.36456700783541e-21	0.115249460872841	0.209	0.092	2.76092842695338e-17	KDELC1	FALSE
1.53462174956456e-21	0.126699271007522	0.233	0.108	3.10500018589396e-17	BIVM	FALSE
1.61990951044839e-21	0.195997462776822	0.456	0.27	3.27756291249023e-17	CNTN4	FALSE
1.76986942408484e-21	0.238773001621568	0.62	0.415	3.58097680575086e-17	KIAA1324L	FALSE
1.78616427701463e-21	0.265660083214438	0.587	0.393	3.6139461816837e-17	UST	FALSE
1.88512285122897e-21	0.238637451703271	0.667	0.475	3.81416906489157e-17	CCSER1	FALSE
2.14394592812567e-21	0.104782318432314	0.148	0.056	4.33784579637666e-17	HAAO	FALSE
3.08655960448901e-21	0.111709495152645	0.239	0.112	6.24503604776262e-17	COBL	FALSE
4.0634953485636e-21	0.279748414935988	0.926	0.803	8.22167013874874e-17	PDE4D	FALSE
4.09183927533317e-21	0.135068281172761	0.198	0.087	8.27901840578161e-17	HDGFRP3	FALSE
4.64178884059754e-21	0.135041017604479	0.186	0.08	9.39173136118099e-17	BCAT1	FALSE
4.87272678383571e-21	0.124978799483742	0.19	0.082	9.85898810173478e-17	MCOLN3	FALSE
5.19924232943256e-21	0.183489042781563	0.369	0.206	1.05196270051409e-16	TANC1	FALSE
6.79855806161097e-21	0.169445353532122	0.267	0.134	1.37555225260575e-16	CNTN6	FALSE
7.19066972886909e-21	0.118687986204875	0.203	0.09	1.45488820624208e-16	B4GALT6	FALSE
1.15987639072757e-20	0.131462915023105	0.244	0.117	2.34677790135908e-16	CXXC5	FALSE
1.21972397355234e-20	0.199980230667358	0.498	0.309	2.46786751568845e-16	FRMD4B	FALSE
1.2453529906383e-20	0.256630091761859	0.772	0.581	2.51972270595847e-16	PLB1	FALSE
1.52061266662234e-20	0.253458746887935	0.782	0.599	3.07665560837698e-16	PLCL2	FALSE
1.83441871148745e-20	0.13357442112626	0.259	0.127	3.71157937895256e-16	TTC29	FALSE
2.06181357629873e-20	0.24714066727611	0.661	0.463	4.17166740892521e-16	MTA3	FALSE
2.11367846464041e-20	0.172485756515354	0.299	0.158	4.27660563750694e-16	DACH2	FALSE
2.21859477416149e-20	0.258722097581752	0.861	0.7	4.48888280656094e-16	ASAP1	FALSE
2.2575653514513e-20	0.148113750407361	0.352	0.192	4.56773197559142e-16	RGS7	FALSE
2.36865377745306e-20	0.188964891824824	0.418	0.248	4.79249718792078e-16	MREG	FALSE
2.4341042616968e-20	0.248355615470443	0.634	0.433	4.92492315269114e-16	BIRC2	FALSE
2.43529550665576e-20	0.157437540187498	0.292	0.152	4.9273333986166e-16	SLC4A4	FALSE
3.43248073030609e-20	0.102010438736279	0.107	0.035	6.94493826162832e-16	RAB39A	FALSE
4.16623223982625e-20	0.224281684967246	0.639	0.432	8.42953769084046e-16	IRS1	FALSE
4.79154231575326e-20	0.175960555323142	0.389	0.222	9.69472756746356e-16	PARD3	FALSE
5.44360289634852e-20	0.116760517881514	0.128	0.046	1.1014041740182e-15	PCDH10	FALSE
6.61598805193559e-20	0.239896623411547	0.856	0.677	1.33861286254813e-15	XYLT1	FALSE
7.42974683684805e-20	0.222918750914949	0.622	0.419	1.50326067749947e-15	ITPRIP	FALSE
7.88274588275304e-20	0.101438778183734	0.123	0.044	1.59491597445742e-15	SFRP4	FALSE
8.07756079557726e-20	0.230470133935736	0.556	0.362	1.63433287576915e-15	IRAK2	FALSE
9.86334165783777e-20	0.209309238038609	0.694	0.487	1.99564991763032e-15	GPC5	FALSE
9.90480145501511e-20	-0.355717582724941	0.167	0.29	2.00403847839321e-15	KCNC3	FALSE
1.19908851379416e-19	0.0880578771353654	0.129	0.047	2.42611578995972e-15	PLAC1	FALSE
1.22105592388667e-19	0.171424062212426	0.38	0.218	2.47056245079989e-15	NHSL2	FALSE
1.33286441050495e-19	0.19600060793507	0.451	0.271	2.69678456177466e-15	IL1RAPL1	FALSE
1.65104876566041e-19	0.0798270963015231	0.107	0.035	3.34056696756071e-15	FZD1	FALSE
2.3121879705389e-19	-0.294319816522634	0.201	0.339	4.67824992079136e-15	TSPEAR	FALSE
2.43751984971035e-19	0.143695159892209	0.272	0.142	4.93183391191895e-15	PLEKHA5	FALSE
2.52099853722311e-19	0.121829703960403	0.225	0.108	5.10073634036353e-15	FSTL4	FALSE
2.57572445312749e-19	0.249584696545661	0.679	0.485	5.21146328601286e-15	MCC	FALSE
2.66081744786488e-19	0.113420251603248	0.133	0.051	5.38363194226502e-15	TNS3	FALSE
2.80157234269662e-19	0.0991701176970874	0.132	0.05	5.66842132097808e-15	SLC25A27	FALSE
2.96876583019322e-19	0.13238814393174	0.169	0.072	6.00670390422995e-15	GABRB3	FALSE
2.99038745162302e-19	0.195926202779519	0.479	0.296	6.05045093086885e-15	SOGA2	FALSE
3.19377447531357e-19	0.157930024772141	0.415	0.243	6.46196389590194e-15	GRM7	FALSE
3.31800153274123e-19	0.172149149467313	0.397	0.229	6.71331250119533e-15	ADAM22	FALSE
3.40724381793947e-19	0.227045005039339	0.679	0.483	6.89387641683693e-15	TRAPPC9	FALSE
3.48047904188467e-19	0.216209719940033	0.516	0.333	7.04205324544525e-15	ACOXL	FALSE
3.54160144593737e-19	0.182750901385804	0.386	0.226	7.16572220556509e-15	RP11-47I22.3	FALSE
4.9462965336091e-19	0.170662354013458	0.395	0.232	1.00078417764513e-14	IGF2BP3	FALSE
4.95246809058313e-19	0.180695556741023	0.298	0.16	1.00203286876768e-14	EID1	FALSE
4.99305497246639e-19	0.178182845547959	0.417	0.248	1.01024481257912e-14	PALLD	FALSE
5.04220299857631e-19	0.132327432380412	0.206	0.096	1.02018893270195e-14	MGST2	FALSE
7.78415364598445e-19	0.210130016401303	0.578	0.386	1.57496780719203e-14	DMD	FALSE
7.86970361999142e-19	0.126707807858235	0.195	0.09	1.59227713343286e-14	ANGPT1	FALSE
9.01611211097965e-19	0.141365231826737	0.266	0.137	1.82422996341451e-14	HES1	FALSE
9.47692784920052e-19	0.260462768174011	0.746	0.566	1.91746681172874e-14	SIPA1L1	FALSE
9.90228702881428e-19	0.131804536961357	0.307	0.163	2.00352973453999e-14	GUCY1A2	FALSE
1.0009526902971e-18	0.111145497028818	0.202	0.094	2.02522757827812e-14	FUT9	FALSE
1.03200085468293e-18	0.120261018644716	0.207	0.097	2.08804732927998e-14	GABRG3	FALSE
1.13644234278188e-18	0.127508994664381	0.151	0.062	2.29936379215059e-14	TFPI	FALSE
1.5761162611484e-18	0.202735366671149	0.967	0.892	3.18895603118156e-14	RUNX1	FALSE
1.74151467274457e-18	0.12466986546486	0.198	0.092	3.52360663736408e-14	C1orf21	FALSE
1.93087206991538e-18	0.148568816147615	0.298	0.16	3.9067334590598e-14	SWAP70	FALSE
