p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	color
4.60642165042266e-52	0.440226029783112	0.698	0.374	9.32017292530018e-48	EPHA4	FALSE
5.53424917583377e-52	0.359257699778598	0.396	0.151	1.11974463574645e-47	EFNA5	FALSE
8.01781124550894e-52	0.263253656606314	0.342	0.114	1.62224374930382e-47	MARCKS	FALSE
2.82474634837055e-51	0.243078356963399	0.228	0.059	5.71530928665814e-47	C4orf45	FALSE
5.1723223792197e-51	0.318626745575461	0.433	0.171	1.04651598698752e-46	PTPN14	FALSE
1.08847708797895e-49	0.431959607296661	0.963	0.832	2.20231569210781e-45	MAML3	FALSE
1.2462174389884e-49	0.419365743039524	0.7	0.391	2.52147174430524e-45	CTIF	FALSE
3.34144680285643e-49	0.133074457614255	0.129	0.019	6.76074931621942e-45	ADRB1	FALSE
1.36044485043487e-47	0.225456200278139	0.321	0.109	2.75258806588488e-43	RBFOX1	FALSE
1.72634187738178e-47	0.286081136306506	0.38	0.144	3.49290752050656e-43	CPVL	FALSE
3.06615338204065e-47	0.203814996458783	0.167	0.035	6.20374813788284e-43	SIPA1L2	FALSE
1.37565846059488e-46	0.269880269977776	0.205	0.052	2.78336976332162e-42	JAKMIP1	FALSE
2.02102237951623e-46	0.180644588268026	0.18	0.04	4.08913458047518e-42	HHIP	FALSE
2.38098583738521e-46	0.288982221684006	0.385	0.149	4.81744864478149e-42	GNAO1	FALSE
2.75528130459715e-45	0.197488800286574	0.252	0.075	5.57476066359142e-41	AGBL1	FALSE
2.92497102440079e-44	0.200911179748015	0.241	0.07	5.91809387367013e-40	MGST2	FALSE
3.80445794836178e-44	0.15618545314477	0.156	0.032	7.69755976692039e-40	SLITRK5	FALSE
3.96118921400195e-44	0.231545627132661	0.326	0.116	8.01467413669014e-40	ARHGEF26	FALSE
7.08667274978883e-44	0.235967568765595	0.223	0.063	1.43384649746477e-39	CTBP2	FALSE
1.75954320887333e-43	0.224152544579449	0.249	0.076	3.56008377451341e-39	SCARA5	FALSE
1.83623296771345e-43	0.379930205400607	0.712	0.401	3.71525016357463e-39	DCC	FALSE
3.24271070329333e-43	0.365624367799127	0.483	0.224	6.5609765659734e-39	RYR2	FALSE
9.09207815249023e-43	0.276389495977606	0.389	0.157	1.83960017259335e-38	ZNF608	FALSE
1.15616077494064e-42	0.420360333965427	0.845	0.596	2.33926009593739e-38	FAM53B	FALSE
2.29286698522038e-42	0.204648003620524	0.194	0.05	4.6391577711964e-38	ATP9A	FALSE
4.13960430378951e-42	0.185018619696077	0.162	0.036	8.37566138785732e-38	RGMA	FALSE
4.82948927174556e-42	0.219128586907609	0.288	0.101	9.7715056435228e-38	COBL	FALSE
5.78113457209408e-41	0.314023486715507	0.336	0.134	1.1696969579718e-36	PIK3AP1	FALSE
2.07500231876239e-40	0.169564810922871	0.202	0.055	4.19835219155195e-36	MNS1	FALSE
3.57509829177728e-40	0.168301686485771	0.223	0.066	7.23349637375297e-36	DACT1	FALSE
3.78913148543119e-40	0.286737660663341	0.456	0.208	7.66654973447292e-36	GRID1	FALSE
6.99884369042417e-40	0.223585939425011	0.25	0.082	1.41607604388352e-35	VCAN	FALSE
7.3493922552439e-40	0.197927206815746	0.275	0.094	1.4870025350035e-35	KCNQ3	FALSE
1.4890140784414e-39	0.148617783199971	0.167	0.04	3.01272218491049e-35	PCDH10	FALSE
1.60919821073363e-39	0.402163339012434	0.855	0.626	3.25589073977736e-35	ARID5B	FALSE
2.50934191790151e-39	0.167900142552822	0.194	0.052	5.07715150249012e-35	POU3F3	FALSE
2.97976974414037e-39	0.328207820981826	0.508	0.252	6.02896812331921e-35	FRMD4B	FALSE
5.14890284148751e-39	0.120921344185227	0.115	0.019	1.04177751191817e-34	RASSF6	FALSE
9.62713532181486e-39	0.210297699593891	0.295	0.107	1.9478582896628e-34	ROR2	FALSE
1.65699496720941e-38	0.368545285377637	0.577	0.313	3.35259791715481e-34	LIPC	FALSE
1.89934313493696e-38	0.34383821606461	0.443	0.207	3.84294096491795e-34	FAM129A	FALSE
4.49575266096675e-38	0.217305140457294	0.191	0.054	9.09625635893401e-34	GLIS1	FALSE
1.23649735166857e-37	0.251815539387746	0.354	0.145	2.50180509163101e-33	MEF2C	FALSE
1.45528157399263e-37	0.180604459611672	0.23	0.073	2.94447120865928e-33	DOCK5	FALSE
1.61378311266106e-37	0.21521518695597	0.321	0.124	3.26516737184713e-33	FBXL7	FALSE
5.34856209236471e-37	0.295242612764388	0.502	0.245	1.08217456814815e-32	SOX4	FALSE
2.1454129455809e-36	0.301688081808666	0.6	0.321	4.34081401279384e-32	TENM1	FALSE
2.97580527581495e-36	0.262199362931119	0.271	0.1	6.0209468145564e-32	GNG4	FALSE
4.33750017393476e-36	0.221259048140996	0.302	0.117	8.7760641019222e-32	CDYL2	FALSE
4.68139839937434e-36	0.368164643638533	0.86	0.605	9.4718733814541e-32	IKZF2	TRUE
5.01947696416294e-36	0.253262036311476	0.324	0.13	1.01559077415909e-31	FAM49A	FALSE
9.23520700713365e-36	0.381337909250731	0.871	0.657	1.86855943375335e-31	RP11-12J10.3	FALSE
1.61154604077715e-35	0.279372675988588	0.448	0.217	3.26064110430441e-31	BHLHE40	FALSE
2.64546656030482e-35	0.218685535807925	0.332	0.134	5.35257249146474e-31	DPP6	FALSE
4.00076933396038e-35	0.160712449231652	0.178	0.05	8.09475659340203e-31	CXXC4	FALSE
4.15827748208321e-35	0.155735831351949	0.181	0.051	8.41344282949895e-31	PTGDR	FALSE
6.0104216371085e-35	0.25215000399342	0.386	0.17	1.21608860983616e-30	FRAS1	FALSE
6.50474969635886e-35	0.173758148151254	0.195	0.059	1.31610600606429e-30	LARGE	FALSE
8.12236218153746e-35	0.22188005707132	0.336	0.137	1.64339754019047e-30	AC022431.2	FALSE
1.03078761846053e-34	0.205711278217908	0.332	0.135	2.0855925884312e-30	GPR56	FALSE
1.0740803024361e-34	0.185557955913716	0.231	0.077	2.17318667591896e-30	GABRG3	FALSE
6.57532089530406e-34	0.157422097539556	0.187	0.056	1.33038467674687e-29	SMAD1	FALSE
7.84102199336809e-34	0.173043084112765	0.22	0.072	1.58647397991817e-29	IL20RA	FALSE
1.10158517945642e-33	0.39701496876687	0.863	0.661	2.22883729359417e-29	MBP	FALSE
1.34179946286945e-33	0.218526546309605	0.314	0.127	2.71486285322375e-29	CST7	FALSE
1.85354233118364e-33	0.299457265237928	0.584	0.324	3.75027219868386e-29	CEP128	FALSE
2.21870347945721e-33	0.257466926341122	0.422	0.197	4.48910274998577e-29	SLC4A4	FALSE
4.33359277026706e-33	0.151870992289358	0.231	0.078	8.76815825208134e-29	BHLHE41	FALSE
4.86600131858426e-33	0.411110897536567	0.664	0.402	9.84538046789153e-29	NCALD	FALSE
5.40828930763602e-33	0.119417927273778	0.141	0.034	1.094259175614e-28	BEND4	FALSE
7.22837284459931e-33	0.304393708045899	0.415	0.202	1.46251667764778e-28	MCTP2	FALSE
8.26659388115858e-33	0.15937893304908	0.209	0.067	1.67257993997482e-28	AMOTL1	FALSE
9.07970923871059e-33	0.133198339855416	0.134	0.032	1.83709757026831e-28	ADRA1B	FALSE
1.43749553190897e-32	0.278745859823762	0.437	0.209	2.90848470971141e-28	KLRD1	FALSE
2.40042646131579e-32	0.24171164232557	0.383	0.177	4.85678285918024e-28	TSHR	FALSE
4.76474327593357e-32	0.192530055243894	0.184	0.057	9.64050507019638e-28	LRFN2	FALSE
4.87617374067465e-32	0.200270348392958	0.293	0.117	9.86596232950702e-28	MMRN1	FALSE
5.34211790369635e-32	0.121435482179904	0.14	0.034	1.08087071545488e-27	VANGL1	FALSE
5.76765226446442e-32	0.39088858054772	0.86	0.653	1.16696908266909e-27	LPP	FALSE
6.49869268395079e-32	0.219421255305509	0.299	0.121	1.31488049074376e-27	SETBP1	FALSE
8.83284222589395e-32	0.153771035843457	0.18	0.055	1.78714896756512e-27	HMGA2	FALSE
9.93561866326912e-32	0.131394242741581	0.145	0.037	2.01027372413924e-27	UTS2B	FALSE
1.10561340858988e-31	0.283763331703129	0.631	0.358	2.23698760959991e-27	FBXO32	FALSE
1.22673133468368e-31	0.173022464876393	0.228	0.08	2.48204550946549e-27	B4GALT6	FALSE
1.93467430706935e-31	0.120536944793462	0.147	0.038	3.91442652549341e-27	ABCA10	FALSE
2.76223104040294e-31	0.283311351541884	0.557	0.304	5.58882206404727e-27	FNIP2	FALSE
2.80370775091108e-31	0.105834522256454	0.152	0.041	5.67274189241838e-27	OR4N2	FALSE
4.310254684896e-31	0.117052167827731	0.154	0.042	8.72093830395008e-27	PDLIM1	FALSE
5.01571935822425e-31	0.121188500732002	0.194	0.062	1.01483049774951e-26	DSCAM	FALSE
6.6002592777777e-31	0.384767114484155	0.889	0.711	1.33543045967276e-26	MAD1L1	FALSE
1.17291026749567e-30	0.198447658298319	0.249	0.094	2.37314934422399e-26	ATP8B4	FALSE
1.32672796199286e-30	0.246739160348873	0.456	0.228	2.68436868550015e-26	SLC25A13	FALSE
1.37319838356851e-30	0.197981589338861	0.332	0.144	2.77839228947417e-26	LZTS1	FALSE
1.37595823104657e-30	0.323536653248155	0.719	0.457	2.78397628887652e-26	TOX2	FALSE
1.60938274783902e-30	0.241852192727501	0.438	0.217	3.25626411370268e-26	ALOX5AP	FALSE
2.19819771103465e-30	0.136968316469373	0.191	0.061	4.4476134287364e-26	SLC25A27	FALSE
2.4043666830607e-30	0.310052795409882	0.588	0.337	4.86475510983672e-26	GFOD1	FALSE
2.70169296934436e-30	0.140786913622243	0.176	0.054	5.46633538487444e-26	CXXC11	FALSE
3.05688712146543e-30	0.135628416874325	0.159	0.046	6.184999712861e-26	RASSF8	FALSE
4.75304817331681e-30	0.358579682671464	0.882	0.674	9.61684236907191e-26	PLCL2	FALSE
5.89920145323684e-30	0.0989286487384576	0.113	0.025	1.19358543003341e-25	CXCL2	FALSE
7.51372243239947e-30	0.238865066171911	0.501	0.262	1.52025145974738e-25	NRXN3	FALSE
9.00704158873619e-30	0.227448192416907	0.27	0.108	1.82239472464899e-25	PBX1	FALSE
1.91459287171473e-29	0.207750784398477	0.239	0.091	3.87379575734042e-25	ABCA4	FALSE
2.13440868130721e-29	0.165293979555452	0.246	0.094	4.31854908488887e-25	CYB561	FALSE
3.39415787051602e-29	0.240605737806658	0.429	0.214	6.86739961941506e-25	FANCA	FALSE
3.84086451536582e-29	0.134036561532898	0.174	0.055	7.77122117393966e-25	UNC5B	FALSE
4.91903761972892e-29	0.191025573348536	0.272	0.112	9.95268881599753e-25	SNCA	FALSE
9.64034526307692e-29	0.305496215866884	0.628	0.384	1.95053105707835e-24	EGLN3	FALSE
1.15059378634767e-28	0.123104769066817	0.206	0.071	2.32799640791723e-24	RAB27B	FALSE
1.1596761208218e-28	0.156897313642646	0.248	0.096	2.34637269525874e-24	SCRN1	FALSE
1.35118304006427e-28	0.150893171011408	0.295	0.122	2.73384864496204e-24	TMEM200A	FALSE
1.41204104918569e-28	0.158173334233734	0.253	0.098	2.85698265481741e-24	PRSS3	FALSE
1.43741347871579e-28	0.179580428114449	0.376	0.179	2.90831869148566e-24	NAV2	FALSE
1.70838646306087e-28	0.240175607619479	0.485	0.256	3.45657833071105e-24	KIAA1462	FALSE
1.77288393433588e-28	0.252182346448718	0.567	0.316	3.58707606434178e-24	CD99	FALSE
2.82967641682898e-28	0.222486445897111	0.304	0.132	5.72528429417008e-24	PDGFD	FALSE
2.87793669566138e-28	0.127979700202272	0.14	0.038	5.82292931633167e-24	CCDC50	FALSE
3.08531634307797e-28	0.327222207652335	0.79	0.544	6.24252055694965e-24	PLEKHA2	FALSE
3.66003666400466e-28	0.334070579052227	0.842	0.633	7.40535218228063e-24	NEDD9	FALSE
7.2730193264195e-28	0.137842457685535	0.205	0.072	1.47155000031446e-23	HDGFRP3	FALSE
7.45690163613868e-28	0.291320371959032	0.521	0.293	1.50875490803994e-23	ZNRF1	FALSE
1.00502904547247e-27	0.123957324880289	0.142	0.04	2.03347526770446e-23	MZB1	FALSE
1.20780613043372e-27	0.169445210881331	0.212	0.077	2.44375414370654e-23	LYN	FALSE
1.25639861718509e-27	0.113445636775595	0.148	0.043	2.5420713221506e-23	RAB39A	FALSE
1.44844944269268e-27	0.218786143284149	0.4	0.195	2.9306477574001e-23	PARD3	FALSE
1.61001819974614e-27	0.239386284073776	0.466	0.245	3.25754982354636e-23	ZFHX3	FALSE
1.96485971879115e-27	0.144922731933121	0.142	0.041	3.97550066903013e-23	CCR6	FALSE
2.78280693308347e-27	0.213204523756935	0.438	0.219	5.63045326770779e-23	TLE1	FALSE
3.84868272139092e-27	0.198080222358438	0.293	0.128	7.78703975019024e-23	CHPT1	FALSE
4.58570931961381e-27	0.13570728611513	0.214	0.079	9.27826566637463e-23	CYP39A1	FALSE
5.37878015516007e-27	0.230738943868823	0.492	0.276	1.08828858879354e-22	DST	FALSE
9.33419488035599e-27	0.196930584724451	0.416	0.206	1.88858765014243e-22	TMX4	FALSE
1.57439828849867e-26	0.154922611084112	0.191	0.067	3.18548005711936e-22	FAM43A	FALSE
1.57632005536751e-26	0.190940569613797	0.195	0.07	3.18936836802509e-22	TNS3	FALSE
1.69979223514203e-26	0.114743097287969	0.165	0.052	3.43918962936287e-22	CCR9	FALSE
2.00093593186061e-26	0.267245263886004	0.481	0.27	4.04849367093358e-22	NHSL2	FALSE
2.58207984114676e-26	0.128448649712745	0.181	0.061	5.22432214259224e-22	PAWR	FALSE
2.8671310653869e-26	0.118213489141944	0.134	0.038	5.80106628459731e-22	C11orf74	FALSE
3.40580183709598e-26	0.159548038207534	0.181	0.063	6.89095885699629e-22	RNF165	FALSE
3.55005385378451e-26	0.135822612660492	0.202	0.074	7.18282396236219e-22	SLC24A3	FALSE
4.20849877651545e-26	0.317116861680624	0.892	0.729	8.51505557452371e-22	CHST11	FALSE
4.26109582439549e-26	0.12925114222831	0.176	0.059	8.62147518149939e-22	SEMA6A	FALSE
5.89055658984589e-26	0.173711827817919	0.365	0.176	1.19183631482352e-21	JAKMIP2	FALSE
6.75358497600318e-26	0.178958254240902	0.332	0.154	1.36645284819472e-21	TIMP2	FALSE
1.04378082130179e-25	0.180741876518868	0.285	0.125	2.11188173573991e-21	TMEM247	FALSE
1.3401392358363e-25	0.228751244276818	0.473	0.255	2.7115037158676e-21	TET3	FALSE
1.7474851857036e-25	0.22059813087753	0.472	0.252	3.53568677623409e-21	MEX3B	FALSE
1.8884230259249e-25	0.124148828925006	0.158	0.051	3.82084630835384e-21	HLA-DPA1	FALSE
2.07587511255154e-25	0.253981395369305	0.553	0.325	4.20011811522553e-21	BANK1	FALSE
2.10800632612499e-25	0.207075986200445	0.391	0.198	4.2651291996487e-21	MAPK10	FALSE
2.16317606074937e-25	0.180365455753511	0.397	0.198	4.3767541237142e-21	ZNF595	FALSE
2.78251402312647e-25	0.126371942944699	0.124	0.034	5.62986062299178e-21	DMRT1	FALSE
3.14133767992928e-25	0.277335148053253	0.665	0.424	6.35586852780091e-21	TCF12	FALSE
3.40808151978383e-25	0.14386913941019	0.22	0.086	6.89557133897862e-21	LRP12	FALSE
4.7208060895567e-25	0.0979577307439302	0.172	0.058	9.55160696100007e-21	PTPRT	FALSE
5.64816682306505e-25	0.262194742613123	0.617	0.379	1.14279359331075e-20	ETV6	FALSE
5.72364532857757e-25	0.0967685095177749	0.129	0.036	1.1580651593311e-20	RIN2	FALSE
7.4748679325987e-25	0.127147281954176	0.195	0.071	1.5123900288027e-20	NRROS	FALSE
9.58004348047544e-25	0.14515547847448	0.209	0.08	1.9383301974046e-20	ST18	FALSE
1.05897527167641e-24	0.163850979551709	0.36	0.172	2.14262466718288e-20	IRX5	FALSE
1.30911020834846e-24	0.158403833780727	0.321	0.149	2.64872268455145e-20	C3orf67	FALSE
1.33212469579278e-24	0.319435010587753	0.746	0.544	2.69528789699754e-20	ROBO1	FALSE
1.93271310347928e-24	0.134568531587229	0.21	0.081	3.91045842226962e-20	BTBD3	FALSE
2.19684766429727e-24	0.140075581682202	0.302	0.135	4.44488187917267e-20	ANKRD50	FALSE
2.65327430857057e-24	0.141369370712447	0.271	0.117	5.36836990853083e-20	LTBP1	FALSE
3.20964146812831e-24	0.29022914139983	0.766	0.539	6.49406758246401e-20	FAM13A	FALSE
3.55859572454108e-24	0.181868607033016	0.32	0.15	7.20010672946397e-20	SIPA1	FALSE
3.78697481725525e-24	-0.375135008614733	0.815	0.848	7.66218614775256e-20	RHOH	FALSE
6.04574545959376e-24	0.116539388701457	0.147	0.047	1.2232356788396e-19	HLA-DPB1	FALSE
7.70509172026121e-24	0.205061644730927	0.402	0.211	1.55897120776045e-19	GADD45G	FALSE
8.55412354700315e-24	0.140600290836919	0.176	0.063	1.73075581726515e-19	VIPR2	FALSE
9.60115357860325e-24	0.312710062742502	0.827	0.609	1.9426014035588e-19	PPP3CA	FALSE
1.2628682071419e-23	0.209041148860127	0.25	0.109	2.5551612435102e-19	NOS1AP	FALSE
1.39105835367187e-23	0.137985892704401	0.162	0.055	2.81452836698429e-19	ZNF730	FALSE
1.43826416671894e-23	-0.434635163003643	0.517	0.619	2.91003988852244e-19	PTPRN2	FALSE
1.56867593869326e-23	0.180998429876229	0.346	0.169	3.17390202675808e-19	RIPK2	FALSE
2.19492744780903e-23	0.224332511048412	0.4	0.211	4.44099670515201e-19	CXXC5	FALSE
2.33187808413606e-23	0.123057866193511	0.167	0.058	4.7180889276325e-19	SFRP4	FALSE
2.46088252037957e-23	0.28396455155649	0.787	0.55	4.97910360348398e-19	ITPRIP	FALSE
3.19522647533601e-23	0.293662898850517	0.898	0.733	6.46490172754735e-19	SIK3	FALSE
3.69092405539645e-23	0.115485701834509	0.17	0.06	7.46784664128364e-19	SLCO4C1	FALSE
4.2000451888194e-23	0.132993710021125	0.178	0.066	8.4979514305383e-19	GDF6	FALSE
4.68665451866919e-23	0.147444301739101	0.25	0.108	9.48250808762336e-19	TMEM132D	FALSE
5.49780774449996e-23	0.125955114774099	0.289	0.131	1.11237144094468e-18	SSPN	FALSE
7.33279149221768e-23	0.176068332656139	0.333	0.165	1.4836437026204e-18	PLCH1	FALSE
1.09068344383631e-22	0.129340681795648	0.238	0.102	2.206779811914e-18	CDH13	FALSE
1.19918579180829e-22	0.139320421604425	0.295	0.137	2.42631261256571e-18	HHAT	FALSE
1.28332303006663e-22	0.189164118664211	0.414	0.221	2.59654748673381e-18	SETD7	FALSE
1.71530716083738e-22	0.242329660038549	0.483	0.277	3.47058097852227e-18	RP11-127H5.1	FALSE
1.7967115538168e-22	0.153400900964329	0.234	0.101	3.63528648683753e-18	IGF2BP2	FALSE
1.86290839349441e-22	0.154089659930049	0.367	0.186	3.76922255255723e-18	COL25A1	FALSE
2.40005470762749e-22	0.206353447446694	0.56	0.326	4.85603068994271e-18	SMAD3	FALSE
3.22074667187136e-22	0.11011311710947	0.133	0.042	6.51653674119733e-18	C20orf197	FALSE
4.89097263128857e-22	0.154430836498457	0.267	0.122	9.89590492488617e-18	ZNF521	FALSE
4.97365694669777e-22	0.21393529783501	0.304	0.145	1.00632001002536e-17	NFIB	FALSE
5.42924354622774e-22	0.202971876659261	0.487	0.277	1.09849884670826e-17	SPRED2	FALSE
6.19398685595032e-22	0.251136990870035	0.733	0.491	1.25322936056443e-17	MCF2L2	FALSE
8.08572423313476e-22	0.148348794221777	0.365	0.186	1.63598458409016e-17	OCA2	FALSE
8.13039594435849e-22	0.251313874180797	0.916	0.802	1.64502301142205e-17	NPIPA7	FALSE
1.12105691542411e-21	0.126510582659251	0.217	0.09	2.2682344569776e-17	FGF5	FALSE
1.14527612700527e-21	0.150448071872412	0.311	0.149	2.31723718776977e-17	AL583828.1	FALSE
1.16265792824938e-21	0.187966892988502	0.443	0.245	2.35240578622697e-17	SHC4	FALSE
1.29408653915842e-21	0.112160785460322	0.147	0.05	2.61832529467924e-17	CCNJL	FALSE
1.5920367081172e-21	0.155478789766561	0.212	0.088	3.22116787153352e-17	GRAMD1B	FALSE
1.60857880821937e-21	0.285381659916324	0.809	0.598	3.25463750267026e-17	SIPA1L1	FALSE
1.96606264039581e-21	0.169216550745675	0.393	0.208	3.97793454031284e-17	GCNT1	FALSE
2.09459015627216e-21	0.110968714264017	0.155	0.055	4.23798426318546e-17	TBC1D9	FALSE
2.13275184090662e-21	0.0871128301177962	0.151	0.052	4.31519679970637e-17	HHEX	FALSE
2.75795165573506e-21	0.241772644274028	0.632	0.409	5.58016358504875e-17	ELL2	FALSE
3.85624049838219e-21	0.292134516207698	0.712	0.497	7.80233140037669e-17	EXOC4	FALSE
3.86732947547328e-21	0.234473811810997	0.484	0.285	7.82476772772509e-17	CTNNA1	FALSE
4.30460293758765e-21	0.131902054557044	0.214	0.09	8.7095031236211e-17	CD200	FALSE
4.41830234634394e-21	0.14374755063757	0.333	0.169	8.9395511373577e-17	ESR1	FALSE
6.21853846962192e-21	0.177414414986977	0.372	0.194	1.2581968885586e-16	PLXND1	FALSE
6.61971309491125e-21	0.133452758735721	0.299	0.144	1.33936655049339e-16	TTC29	FALSE
6.82712670257403e-21	0.239471776250957	0.669	0.432	1.3813325457318e-16	EBF1	FALSE
8.14419858552305e-21	0.278463353426397	0.876	0.724	1.64781569980888e-16	RIN3	FALSE
8.22094241440282e-21	0.112049758963075	0.165	0.062	1.66334327870612e-16	KAZN	FALSE
8.50139931532107e-21	0.212136249216525	0.51	0.302	1.72008812346891e-16	C21orf33	FALSE
8.89539676969907e-21	0.114681484172861	0.144	0.05	1.79980562841321e-16	ARHGAP20	FALSE
1.02156683334571e-20	0.0826543744671806	0.113	0.034	2.06693617390837e-16	KIRREL	FALSE
1.13558173927641e-20	0.233623116457053	0.646	0.409	2.29762253307795e-16	NRG3	FALSE
1.30055854715978e-20	0.192392112492103	0.541	0.317	2.63142010846838e-16	DFNB31	FALSE
1.36162207757434e-20	0.249825584917835	0.845	0.677	2.75496994955617e-16	XYLT1	FALSE
1.60801673681677e-20	0.137058688086212	0.274	0.129	3.25350026360137e-16	MLTK	FALSE
1.75222675468388e-20	0.0945709845862466	0.178	0.069	3.54528039275189e-16	ARHGAP29	FALSE
1.97754357583122e-20	0.225252263030355	0.624	0.391	4.00116391697932e-16	C14orf182	FALSE
1.9821319478659e-20	0.267129696820125	0.762	0.556	4.01044757011707e-16	B4GALT1	FALSE
