p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
5.50336216950988e-246	0.619400071699793	0.875	0.739	1.11349526775693e-241	DLG2
4.44386192148894e-245	0.635605141601029	0.435	0.137	8.99126582574857e-241	ADAMTS12
1.92532445126369e-244	0.663979990290899	0.606	0.31	3.89550896224182e-240	CTNND2
3.77893432105576e-242	0.699004908242762	0.663	0.399	7.64591781179213e-238	LRRC16A
6.77623847115309e-242	-0.617774136735328	0.3	0.6	1.3710363298684e-237	PPP1R15A
2.90745156878328e-241	-0.693423010410849	0.296	0.596	5.88264675911921e-237	DNAJA1
1.21285359636214e-240	0.720376552979221	0.774	0.553	2.45396668151951e-236	PDE3B
8.00990534198596e-240	0.705063779786206	0.743	0.504	1.62064414784402e-235	DMD
1.61026881007824e-238	0.666185138031621	0.707	0.429	3.2580568834313e-234	SH3RF3
5.97280578918731e-238	0.671496950706981	0.521	0.221	1.20847779532627e-233	UNC5C
1.86342363590159e-236	0.705675006957342	0.722	0.474	3.77026504251968e-232	PLXNA4
5.88903041965887e-235	0.673536076720379	0.769	0.53	1.19152752480958e-230	CSMD1
7.48897366920995e-233	0.675937994785669	0.765	0.542	1.51524404249125e-228	MAGI2
5.23011086027898e-232	-0.668748559304363	0.37	0.656	1.05820833036025e-227	CD97
8.3776031896826e-230	0.597057628583198	0.88	0.73	1.69504045336848e-225	LSAMP
2.76509576909165e-229	-0.702093203572926	0.524	0.758	5.59461826960313e-225	TNFAIP3
1.55871651393218e-228	0.668523504511898	0.693	0.429	3.15375112263898e-224	KCNIP4
4.89589666142577e-226	0.538105461644086	0.319	0.071	9.90586771506275e-222	CA6
5.21998548106872e-225	0.567708300001401	0.39	0.119	1.05615966238463e-220	SORCS3
5.17444336308424e-224	0.630010459421473	0.578	0.288	1.04694512565283e-219	THSD7B
1.22677196932358e-223	-1.02643940993154	0.509	0.73	2.4821277255324e-219	ZEB2
4.30600549844134e-223	0.617292138980704	0.497	0.219	8.71234092499636e-219	BMPR1B
2.72633367890998e-221	0.650573728184877	0.518	0.223	5.51619093253856e-217	TXK
2.93038592158016e-221	0.70787994297302	0.593	0.306	5.92904983513314e-217	TENM1
1.19487422059832e-220	0.608667519709142	0.447	0.167	2.41758901053658e-216	RBFOX1
1.81830963342698e-220	0.57930870437427	0.436	0.146	3.67898588131281e-216	CLSTN2
2.71958729116843e-220	-0.584057900742359	0.666	0.867	5.50254096622109e-216	NR4A2
1.74566645034557e-218	-0.595043236575809	0.559	0.784	3.53200692898419e-214	TRA2B
2.34378522259529e-217	0.644228863204221	0.715	0.468	4.74218064087704e-213	ANKS1B
3.02700798899519e-217	-0.601818630004193	0.424	0.69	6.12454526413397e-213	HSPE1
6.24551481855525e-217	0.528929543140256	0.354	0.098	1.26365501323828e-212	CA10
2.90141883045997e-216	0.67458534320735	0.64	0.359	5.87044071966967e-212	AGBL4
5.63526469339546e-216	0.599396392586064	0.83	0.668	1.1401831054147e-211	CTNNA3
7.02895718321342e-216	0.480733641844777	0.987	0.976	1.42216890687957e-211	FOXP1
3.20337447514007e-214	0.690677209935687	0.472	0.192	6.4813875755509e-210	CACHD1
5.93197460611524e-214	0.645479469111572	0.815	0.606	1.2002164220553e-209	GPC6
1.05901511718211e-213	0.675294015101801	0.575	0.27	2.14270528659457e-209	C10orf11
6.0340065095167e-213	-0.738274288847968	0.301	0.585	1.22086053707051e-208	SLC15A4
4.20560286973996e-212	-0.660291049941894	0.195	0.461	8.50919628634486e-208	OASL
4.41259998369754e-212	0.653046730782666	0.667	0.409	8.92801354701523e-208	DCC
1.81796704450615e-210	-0.577670795437104	0.377	0.639	3.6782927211493e-206	SQSTM1
3.41053779527325e-210	-0.582160985387181	0.393	0.67	6.90054112117638e-206	PDE4A
3.3068413356129e-209	0.623817772525819	0.672	0.431	6.69073207434558e-205	PDE7B
7.87669571946535e-208	-0.54445552032025	0.197	0.471	1.59369184491943e-203	NFKBIE
1.25200250963221e-206	0.58844512978602	0.48	0.209	2.53317667773885e-202	GPC3
4.91003310277431e-206	0.532722740572517	0.399	0.14	9.93446997684327e-202	KLHL29
2.60877307423658e-205	0.634002435948055	0.659	0.406	5.27833056110287e-201	NRG3
3.409832409212e-205	-0.632065564913235	0.576	0.803	6.89911391355865e-201	AHNAK
4.47131160666792e-205	-0.59636852767763	0.769	0.911	9.0468047737712e-201	RAPGEF1
7.70937497252523e-205	-0.526903717048211	0.141	0.408	1.55983783819103e-200	RHOB
1.12247598735578e-204	-0.60264438580625	0.397	0.658	2.27110566521695e-200	LDLR
1.24092504242086e-204	0.602857822507302	0.719	0.504	2.51076363833013e-200	LRRC4C
5.46814099665802e-204	0.450622853571926	0.662	0.363	1.10636896785382e-199	IKZF2
1.25628841730883e-203	0.660962871597883	0.733	0.485	2.54184835474097e-199	BTBD11
6.29451690118493e-202	0.601760518060056	0.428	0.159	1.27356960461675e-197	SUSD4
1.35795917049534e-201	0.625331646504923	0.715	0.464	2.74755878966322e-197	AOAH
1.43512269966428e-201	0.525719247665448	0.47	0.21	2.90368375823075e-197	TENM3
2.59482018516589e-201	-0.595186549035367	0.84	0.93	5.25009968064615e-197	FNBP1
5.99571995673643e-201	-0.546323697770154	0.198	0.453	1.21311401884648e-196	CDKN1A
1.09245770545873e-200	0.496286753896395	0.299	0.069	2.21036967545464e-196	GNAI1
1.99707705676433e-200	0.446928843230915	0.256	0.043	4.04068600895126e-196	KRT73
2.73125052939341e-199	0.540818544949701	0.807	0.568	5.52613919612168e-195	UBASH3B
3.6097473011827e-199	0.635199832666462	0.653	0.41	7.30360171448296e-195	SEMA3A
4.90765420712778e-199	0.565212538650084	0.869	0.746	9.92965675728164e-195	EYS
7.57242885896891e-199	0.502106131324189	0.438	0.177	1.53212953103518e-194	ROR1
3.81159729951799e-198	0.567195427878324	0.432	0.151	7.71200481611474e-194	DPP6
4.48547095296291e-197	0.61005433676082	0.625	0.385	9.07545337912985e-193	TOX2
6.38747135512699e-197	-0.498670930378834	0.713	0.875	1.29237707928284e-192	ARRDC3
3.4741814672505e-196	0.624924498488322	0.554	0.275	7.02931136268793e-192	LIPC
3.92642945775203e-196	0.612084158086913	0.544	0.266	7.94434472186969e-192	NPAS3
1.54471870720878e-195	-0.555428621074142	0.264	0.533	3.12542936029552e-191	BBC3
3.32873007799613e-195	0.555036091785254	0.82	0.659	6.73501956680956e-191	VPS13B
1.51879071621365e-193	0.639111192017065	0.61	0.347	3.07296925611507e-189	FLNB
6.63293460693435e-193	0.599992876482542	0.503	0.24	1.34204165902103e-188	ASIC2
8.22811095010865e-193	-0.577623649687212	0.35	0.621	1.66479368853548e-188	NFKBIA
2.72261625083299e-192	-0.557863869580837	0.611	0.812	5.50866946031039e-188	HSPE1-MOB4
5.05933484437534e-192	0.430550153494201	0.247	0.043	1.02365521906246e-187	ZNF462
5.57665484319804e-192	-0.619663501166873	0.337	0.591	1.12832457442426e-187	ATF3
1.16741194839787e-191	-0.545643275633654	0.616	0.821	2.36202459519341e-187	JUN
4.63075432963715e-190	0.57955831175611	0.811	0.627	9.36940523515485e-186	C4orf22
9.50646198222499e-190	0.593282443739831	0.57	0.296	1.92344245286358e-185	GRID1
4.69152493033885e-189	0.554566227468411	0.473	0.205	9.4923623915546e-185	PTPRG
7.79650002011509e-189	0.603041312839276	0.59	0.325	1.57746584906989e-184	MYO3B
1.76971227528988e-188	-0.568128289290291	0.636	0.819	3.58065884659402e-184	RARA
6.53068523206906e-188	0.606480880864586	0.546	0.269	1.32135354300453e-183	CNTNAP5
8.04335865668345e-188	0.602567523015436	0.841	0.704	1.62741275700676e-183	FARS2
7.77057951931217e-187	-0.599948355745667	0.371	0.651	1.57222135414243e-182	BHLHE40
6.30915784631528e-186	0.554495683381622	0.42	0.163	1.27653190704497e-181	IGSF11
3.01348598567164e-185	-0.650879633694261	0.278	0.528	6.09718619480943e-181	PLEK
3.6976308688299e-185	0.484996303088548	0.341	0.103	7.48141653690353e-181	KRT2
1.30585282235966e-184	0.508967403732337	0.344	0.099	2.64213201548029e-180	SULT1B1
2.59045858765881e-184	0.57458693212073	0.603	0.335	5.24127486041007e-180	IQCJ-SCHIP1
4.53587516543013e-184	0.582725694297269	0.675	0.454	9.17743622221478e-180	CDKAL1
1.75466897777138e-183	0.601993276470394	0.607	0.343	3.55022174272483e-179	GRM7
2.07328532802094e-183	0.571049421047185	0.798	0.655	4.19487820418478e-179	BCAS3
2.65870216205086e-182	0.488998129473335	0.394	0.145	5.37935208447751e-178	TMEM132D
2.87242861279584e-182	0.598289851269951	0.739	0.529	5.81178481226983e-178	CRTC3
5.4282644354348e-182	0.515443790355809	0.392	0.141	1.09830074322152e-177	PIEZO2
9.26601626125165e-182	0.539319446507548	0.498	0.241	1.87479307013905e-177	DIRC3
1.25723853133084e-181	0.583470968643381	0.703	0.465	2.54377072044169e-177	TRPM3
3.09189884073123e-181	0.526297767999345	0.46	0.21	6.2558389244515e-177	CLNK
3.40105596378158e-181	0.4682293868626	0.259	0.049	6.88135653151927e-177	PRG4
3.41760416696495e-181	0.543393392068757	0.434	0.164	6.91483851102018e-177	MAGI1
8.12032739551504e-181	0.634616041063317	0.728	0.513	1.64298584193456e-176	TLK1
9.52868519727291e-181	-0.566848447398821	0.46	0.699	1.92793887596423e-176	PTPN6
3.06636893538387e-180	0.581749772174205	0.739	0.55	6.20418426696218e-176	VPS13D
5.99906504464301e-180	0.479303987362738	0.366	0.124	1.21379083048262e-175	SPOCK1
1.86613909321264e-179	0.495077359302977	0.383	0.142	3.77575922729714e-175	NEBL
3.66879409054742e-179	0.562466944339875	0.551	0.301	7.4230710834046e-175	NELL1
1.5266092018489e-177	0.543603405307873	0.426	0.173	3.08878839810087e-173	SNTG2
8.8209576556942e-177	0.573020623153308	0.657	0.433	1.78474436247661e-172	PITPNM2
2.57081782940402e-176	0.578060185021776	0.657	0.415	5.20153571423315e-172	CNTN4
8.349411856865e-176	-0.483168832519441	0.793	0.911	1.6893365009995e-171	HOOK2
1.5598868906311e-174	0.56370664448284	0.503	0.26	3.15611914581391e-170	CEP112
2.91724881325781e-174	0.473406462063545	0.425	0.174	5.90246952386452e-170	CACNA2D3
2.01609915489045e-173	0.523802796828567	0.497	0.235	4.07917342008984e-169	ERC2
2.67708288134818e-173	0.511537125360492	0.441	0.186	5.41654179383177e-169	FRAS1
3.11535433204253e-173	0.523813165443888	0.6	0.352	6.30329642002165e-169	NRG1
3.20946120629359e-173	-0.557437238678546	0.448	0.686	6.49370285869382e-169	HSP90AA1
5.79163627014031e-173	0.457228033394877	0.394	0.154	1.17182176653749e-168	FHOD3
3.21982938412123e-172	0.543314447419212	0.807	0.665	6.51468079289248e-168	ROBO2
3.43638382135075e-172	0.549403546013257	0.625	0.366	6.95283538573898e-168	TENM2
6.42923901603483e-172	0.54294995856255	0.593	0.33	1.30082793011433e-167	KCNMA1
2.26826036382008e-170	0.618195665636705	0.846	0.722	4.58937119411717e-166	PLCL1
4.51435413156236e-170	0.545299551981828	0.726	0.524	9.13389271439013e-166	OXR1
6.45024943214628e-170	0.528674029358088	0.816	0.681	1.30507896760616e-165	MAD1L1
2.67595273620484e-169	-0.578316683217894	0.404	0.647	5.41425517116326e-165	SLC2A3
6.7038573390523e-169	-0.553607122631159	0.349	0.591	1.35639145541045e-164	HSP90AB1
8.70820931875762e-169	-0.536878309418374	0.244	0.495	1.76193199146423e-164	EFHD2
2.01478290782169e-168	0.477284241998017	0.374	0.137	4.07651025739562e-164	GRIN2B
4.63382116892393e-168	-0.656033713061673	0.5	0.708	9.37561037108379e-164	ITGB1
4.86639311429883e-168	0.538438733277582	0.544	0.28	9.84617318816083e-164	CPNE4
6.84649071661865e-168	0.582579010190765	0.549	0.3	1.38525046669345e-163	ACTN1
1.19846226518625e-167	-0.578217114984238	0.598	0.771	2.42484870115135e-163	PICALM
2.62869760220368e-167	-0.48850793629639	0.194	0.44	5.31864385853871e-163	RILPL2
1.20759567648504e-166	0.560245702871414	0.711	0.503	2.44332833223218e-162	CCNY
2.12224816781082e-166	0.536630831497881	0.54	0.306	4.29394471793163e-162	ASTN2
2.43376772241263e-166	0.456746014013709	0.358	0.125	4.92424223275748e-162	KCNS3
3.66440807928099e-166	0.408548967354807	0.252	0.062	7.41419686680923e-162	TPO
1.00128433699413e-165	0.583643514201605	0.663	0.438	2.02589859904022e-161	AK5
1.17119984162883e-165	0.474183761428672	0.343	0.109	2.36968863956762e-161	ANKFN1
8.01265172477103e-165	0.590213316209583	0.504	0.25	1.62119982347292e-160	SLC16A10
1.30538668149685e-164	0.551242736204627	0.768	0.628	2.64118887267258e-160	DAB1
1.81370238681199e-164	0.456177030675615	0.327	0.096	3.66966403923669e-160	GPR125
5.09818646769597e-164	0.543376257116011	0.87	0.754	1.03151606800893e-159	LRP1B
5.87388597877488e-164	0.439173346282117	0.376	0.152	1.18846335008552e-159	PLCB4
1.5076132999386e-163	0.482761421893473	0.376	0.138	3.05035398976576e-159	MYT1L
3.76172708931486e-163	-0.50519507893397	0.262	0.505	7.61110241981076e-159	PMAIP1
1.21472682956915e-162	0.560232036397452	0.584	0.343	2.45775679426727e-158	MTA3
1.30988017290152e-162	0.550362206300371	0.737	0.552	2.65028055383164e-158	ZNF609
3.46026097842705e-162	0.505732734290387	0.453	0.201	7.00114603765145e-158	NTM
3.96524082096689e-162	0.510116811014099	0.512	0.272	8.02287175306231e-158	ESRRG
4.96593848425076e-162	0.5062896567838	0.775	0.619	1.00475833351846e-157	EXOC4
5.08542885607608e-162	0.444693536304138	0.355	0.134	1.02893482044987e-157	ANO4
9.67194624767159e-162	0.552714275562861	0.742	0.55	1.95692488429139e-157	PCDH9
1.34588175094268e-161	0.523133341614428	0.581	0.352	2.72312254668232e-157	RBMS3
1.53678997853747e-161	0.572666862379392	0.707	0.515	3.10938716357487e-157	GMDS
3.62970698352627e-161	-0.493248247417501	0.473	0.695	7.34398613976871e-157	UBC
4.1760901566587e-161	0.461199700355251	0.363	0.135	8.44948321396755e-157	ADAMTSL1
5.66520561062408e-161	-0.514782701132444	0.564	0.766	1.14624105119757e-156	HNRNPF
6.07417830816601e-161	0.504306247761044	0.46	0.224	1.22898849709123e-156	KLHL3
7.46335707354255e-161	0.524111815040122	0.772	0.604	1.51006103668986e-156	SPAG16
1.42627380260093e-160	0.51102321026567	0.464	0.213	2.88577978480246e-156	SORCS1
3.26780576966294e-160	0.577419533331146	0.78	0.623	6.61175141375903e-156	SATB1
3.41645822516519e-160	0.585155341984064	0.708	0.492	6.91251992697674e-156	ATP10A
3.72501683918217e-159	0.478730666372324	0.425	0.192	7.53682657071728e-155	RARB
5.13971880524118e-159	0.452744145787421	0.338	0.111	1.03991930586445e-154	PTPRT
7.56557178435467e-159	-0.485439800830814	0.278	0.516	1.53074213912848e-154	HLA-A
1.22098316461325e-158	0.523792363091373	0.414	0.167	2.47041523696198e-154	GRIN3A
2.80181653093326e-158	0.549879568327868	0.613	0.388	5.66891538703727e-154	ZPLD1
7.28708786514778e-158	0.387018428920974	0.263	0.068	1.47439648775535e-153	ANO2
3.43810621048454e-157	0.530290260022426	0.432	0.199	6.95632029567337e-153	CALD1
4.14839878264537e-157	0.529875283771291	0.858	0.702	8.39345525692638e-153	LDLRAD4
8.15315181927433e-157	0.583296443247459	0.746	0.563	1.64962720759378e-152	ROBO1
9.69787195389365e-157	0.464146622071154	0.371	0.139	1.9621704324313e-152	SEMA6D
1.91838040783589e-156	0.483583514353925	0.408	0.168	3.88145907917436e-152	RELN
4.00732473745725e-156	-0.514492094000779	0.377	0.602	8.10802014129725e-152	ZC3H12A
7.37580971616151e-155	0.490667392652664	0.401	0.184	1.49234757987096e-150	CEP41
7.84316197083364e-155	-0.42741156271054	0.152	0.378	1.58690696155877e-150	DUSP8
1.30475453358972e-154	0.438985523262205	0.311	0.1	2.63990984781208e-150	CR2
4.71609071337324e-154	0.591861802183083	0.532	0.302	9.54206634036808e-150	PCBP3
5.43137487962006e-154	0.467902035906835	0.345	0.112	1.09893007939353e-149	CADPS
9.7050418919177e-154	0.504249898466013	0.49	0.249	1.96362112599171e-149	COL25A1
8.28993253130265e-153	0.524755476542825	0.564	0.336	1.67730204905846e-148	LPHN2
2.22795416183395e-152	-0.503820983540713	0.678	0.836	4.50781965563862e-148	ELMSAN1
3.45484554801291e-152	-0.54085451417395	0.4	0.639	6.99018899729452e-148	DENND3
1.96756989992386e-151	0.410856763281009	0.329	0.118	3.98098417851595e-147	TMEM108
4.51088572899964e-151	-0.501069478368179	0.45	0.691	9.12687509548496e-147	DUSP1
1.43202475173419e-150	-0.451695558855563	0.247	0.469	2.89741568018378e-146	KLF2
2.66040825254612e-150	0.37467239771245	0.268	0.076	5.38280401737657e-146	CSMD2
3.45127589616143e-150	0.45971165696957	0.434	0.194	6.98296652070343e-146	SLIT3
9.20223454282112e-150	0.437116984267217	0.36	0.134	1.861888115049e-145	CACNA1E
1.1482710042852e-149	0.501256380899652	0.4	0.171	2.32329672297025e-145	BNC2
1.76867192806729e-149	0.418451380041701	0.367	0.156	3.57855391205855e-145	DYNC1I1
2.88997915228298e-149	0.521392740153188	0.577	0.361	5.84729481881414e-145	IL1RAPL1
5.35947727108735e-149	0.50931461495127	0.766	0.61	1.0843830362591e-144	SMYD3
9.44511830865116e-149	0.544388404338311	0.617	0.423	1.91103078738939e-144	RNF157
1.07406164725074e-148	0.528242685376315	0.559	0.319	2.17314893088242e-144	MECOM
2.48635626766291e-148	-0.514278278213889	0.368	0.597	5.03064463636237e-144	CD58
1.35566656416338e-146	-0.503446260446724	0.607	0.788	2.74292015927176e-142	RALGDS
2.39741000064122e-146	0.480275251086847	0.444	0.204	4.85067965429738e-142	EPHB1
2.44021782975867e-146	0.466130766816373	0.92	0.869	4.93729273495071e-142	TNRC6B
2.98251477129534e-146	0.501260326874782	0.834	0.744	6.03452213676186e-142	KANSL1
6.45719116871359e-146	0.336894215085973	0.239	0.06	1.30648348916582e-141	ZNF536
8.33310497184394e-146	-0.437737291082089	0.453	0.661	1.68603712895318e-141	CCNL1
8.47993166104824e-146	-0.348323350502411	0.082	0.275	1.71574457297989e-141	PLCXD1
1.16785573469069e-145	0.461527403093809	0.398	0.171	2.36292250799966e-141	MYO5B
1.28371994158896e-145	-0.509657616789168	0.456	0.666	2.59735055781695e-141	NAMPT
8.15815734234857e-145	0.502175520896031	0.484	0.245	1.65063997507739e-140	DNAH11
9.18683053455645e-145	0.493641813313418	0.476	0.233	1.85877142205681e-140	PDE10A
2.16756383786895e-144	0.445531504083509	0.398	0.181	4.38563191316024e-140	IFLTD1
3.17001045627548e-144	0.452264969516712	0.358	0.133	6.41388215618217e-140	RYR3
9.20723537748069e-144	0.534252736200553	0.586	0.353	1.86289993392567e-139	GRM8
1.71203246623592e-143	0.408153747342195	0.28	0.084	3.46395528893513e-139	WBSCR17
5.15511708944169e-143	0.499370277189868	0.764	0.604	1.04303484070674e-138	CNTN5
6.82106246025232e-143	-0.521590777929778	0.591	0.772	1.38010556758285e-138	NCOR2
1.12334343235451e-142	0.430155957119515	0.312	0.105	2.27286076668287e-138	FSBP
1.23612859767343e-142	0.482316759792603	0.517	0.287	2.50105899167265e-138	HPSE2
2.22406001043269e-142	0.451950028030911	0.397	0.167	4.49994061910846e-138	TENM4
1.49346837526608e-141	0.591145999168013	0.735	0.56	3.02173456367586e-137	ITGA6
2.8552804341247e-141	0.518942675041431	0.516	0.292	5.7770889023645e-137	CMTM8
5.24866082755853e-141	0.461233310353948	0.404	0.186	1.06196154523992e-136	SLC44A5
5.97373348210209e-141	0.490336339911185	0.507	0.276	1.20866549543372e-136	HS6ST3
6.32122613265318e-141	-0.470758087180482	0.356	0.584	1.27897368341972e-136	MKNK2
7.51971132672822e-141	0.368437236305936	0.191	0.031	1.52146319273692e-136	DSC1
1.18418499130674e-140	0.434608422681434	0.373	0.158	2.39596149291093e-136	EGFLAM
2.8989043010564e-140	-0.601594929299546	0.252	0.477	5.86535307232741e-136	CD83
3.04080365334244e-140	0.390150626095679	0.262	0.076	6.15245803180777e-136	ZMAT4
1.11099262412038e-139	0.4996475060246	0.54	0.302	2.24787137638277e-135	KCNMB2
3.45300103447358e-139	0.4323808100663	0.335	0.119	6.98645699305039e-135	COBL
3.70498996833202e-139	-0.494620860588102	0.405	0.634	7.49630620292617e-135	DUSP5
5.92340415665749e-139	0.532881279825509	0.609	0.395	1.19848236301651e-134	RBM20
1.21631389229475e-138	0.396701587632535	0.321	0.118	2.46096789827997e-134	MYO10
1.42567838050371e-138	-0.462735843334663	0.411	0.625	2.88457506727315e-134	MAP2K3
3.36205600232929e-138	0.493843894638494	0.827	0.724	6.80244790951286e-134	RPTOR
3.36364562824609e-138	0.465325760102129	0.444	0.223	6.80566419963032e-134	PKHD1
1.35342408755095e-137	0.372802944299249	0.289	0.095	2.73838295634183e-133	CDH4
1.41201719541486e-137	0.442572690130482	0.832	0.706	2.85693439148288e-133	FIP1L1
3.2481708350372e-137	0.484804254915953	0.79	0.635	6.57202405053077e-133	GRID2
3.33653687829348e-137	0.489454465748816	0.715	0.538	6.75081506585119e-133	DNAH6
4.642707569587e-137	0.517317521141044	0.547	0.325	9.39359022554538e-133	LRRC7
4.9491416461111e-137	0.434241716203227	0.355	0.139	1.00135982925766e-132	AFF2
5.03541149731514e-137	-0.450733691579241	0.433	0.643	1.01881480825177e-132	ZFAND5
6.5261637509298e-137	0.502602973123694	0.576	0.322	1.32043871172563e-132	AFF3
7.04451177484615e-137	-0.461336334001815	0.513	0.727	1.42531606740462e-132	NR4A3
1.3180224698312e-136	0.447718365587971	0.398	0.189	2.66675486320948e-132	ANGPT1
4.30009556945594e-136	0.509237161249291	0.843	0.729	8.7003833656802e-132	PCDH15
6.66133493023708e-136	0.471874403612205	0.506	0.268	1.34778789643487e-131	KIF26B
1.25780737391171e-135	-0.430263389802686	0.322	0.561	2.54492165963556e-131	AIM2
8.76679681281265e-135	0.500017983955035	0.642	0.437	1.77378599913638e-130	RASGRF2
1.53324653535086e-134	0.490651010587234	0.528	0.297	3.1022177149754e-130	NKAIN3
1.55519729984191e-134	-0.441007088437546	0.286	0.509	3.14663069677014e-130	FHOD1
2.98697785989492e-134	0.463284711375933	0.379	0.152	6.04355230392539e-130	ISM1
1.07063642155537e-133	0.514000353408589	0.544	0.315	2.16621867173299e-129	FAM155A
4.27509267838071e-133	0.424435203822006	0.379	0.165	8.64979501616769e-129	ABCA13
7.62819645384427e-133	0.450432831921792	0.794	0.651	1.54341298850631e-128	NAALADL2
9.21773742144974e-133	-0.394356477050113	0.135	0.336	1.86502481248193e-128	TNIP2
1.17354619840096e-132	0.355954100231399	0.274	0.092	2.37443602322467e-128	GABRG3
2.10021738042536e-132	-0.457524599683337	0.394	0.61	4.24936982581463e-128	CDC37
4.52677634122915e-132	0.414566440113997	0.425	0.214	9.15902657120894e-128	POU6F2
9.30535526215209e-132	0.471725850002175	0.591	0.383	1.88275253019123e-127	APP
2.53535915181987e-131	0.48029791955568	0.519	0.302	5.12979217187715e-127	INADL
2.71511413983889e-131	-0.437438202795548	0.294	0.515	5.49349043913603e-127	SLC9A5
3.79702041266949e-131	-0.505652826783536	0.524	0.712	7.68251140095417e-127	PTP4A2
5.27726373938007e-131	0.456405239146121	0.603	0.404	1.06774877238877e-126	ATRNL1
9.74440226066646e-131	0.509792947213338	0.582	0.36	1.97158490940064e-126	NBEA
1.25381028696265e-130	0.528984431878276	0.805	0.655	2.53683435361154e-126	SERINC5
1.29541114659906e-130	0.516813256621167	0.59	0.377	2.62100537291387e-126	LMO7
3.40148261788588e-130	0.393664349366819	0.346	0.147	6.8822197807685e-126	TEAD1
4.12769058241498e-130	-0.446252887859852	0.37	0.594	8.35155635540023e-126	LETM2
4.55495001611654e-130	0.472552041972129	0.487	0.277	9.21603036760859e-126	RAD54B
